# code	word	layer	freq_score
# generated by wubi-build-weights — DO NOT EDIT BY HAND. Regenerate via:
#   cargo run --features tools --release --bin wubi-build-weights
aauq	工资	1	29303
aauq	欺世盗名	1	7478
aauv	黄花闺女	1	8705
aavb	苆	0	11736
aavn	戒刀	1	0
aavv	勤勤恳恳	1	17855
aawb	花花公子	1	22618
aawd	工段	1	11956
aawf	工会	1	27921
aawi	勤工俭学	1	15717
aawi	𢦶	0	0
aawi	𤁱	0	0
aawk	𤨑	0	0
aawn	劳燕分飞	1	8973
aawo	𦿂	0	0
aawo	𪀦	0	0
aawr	工件	1	12589
aaws	欧共体	1	12732
aaws	𤨓	0	0
aawt	工作	1	43765
aawu	茹苦含辛	1	0
aawu	𦮎	0	0
aawv	匶	0	0
aawv	工分	1	17074
aawv	𠥬	0	0
aaww	工人	1	33242
aaww	莁	0	0
aawy	𦼉	0	0
aaxg	警戒线	1	18633
aaxj	医药费	1	19335
aaxl	工细	1	11561
aaxx	花花绿绿	1	9935
aayc	工序	1	20839
aaym	东莞市	1	17074
aayo	匿迹	1	17947
aayp	花落谁家	1	6844
aays	𡐽	0	0
aayt	工薪族	1	7667
aayy	斯斯文文	1	7478
ab	节	4	35931
abab	节节	1	20440
abad	萨斯	1	27818
abae	𦹥	0	0
abag	若隐若现	1	15022
abaq	菡萏	1	11868
abat	荫翳	1	0
abau	荫蔽	1	9400
abb	𦫾	0	0
abb	𦬎	0	0
abbj	𦳃	0	0
abcc	𧅞	0	0
abce	节能	1	18633
abci	藂	0	0
abco	𦼈	0	0
abcs	𦺵	0	0
abcu	菆	0	0
abcu	𩢗	0	0
abde	䔺	0	0
abde	𦳉	0	0
abdi	𦲶	0	0
abdp	𧁼	0	0
abdt	英联邦	1	17009
abdw	节奏	1	27701
abe	荫	3	21362
abef	荫	0	21362
abeg	𦯓	0	0
aben	蘟	0	0
abet	节用	1	15948
abeu	蒸腾	1	13885
abev	𦾩	0	0
abf	芓	3	0
abf	茸	3	20839
abfc	节支	1	0
abff	𦸐	0	0
abfj	𧃨	0	0
abfq	𦰟	0	0
abft	䔖	0	0
abgh	节下	1	9783
abgi	蔯	0	0
abgq	节烈	1	7667
abh	卭	3	0
abh	邛	3	14184
abhg	匩	0	0
abhh	节目	1	33958
abhj	𦱗	0	0
abhk	节点	1	26335
abi	蒸	3	26501
abib	菡	0	13070
abig	䒱	0	0
abii	节水	1	17222
abil	䕄	0	0
abil	𧗆	0	0
abim	节油	1	10971
abio	蒸	0	26501
abir	蒸汽	1	25026
abit	节省	1	24236
abiu	荪	0	9857
abiu	𦭕	0	0
abiu	𧯷	0	0
abiy	节流	1	13902
abj	节	3	34437
abj	𦫼	0	0
abjj	节日	1	27876
abjn	节电	1	9223
abju	𧊡	0	0
abkg	䓧	0	0
abkm	藬	0	0
ablf	䓝	0	0
ablt	节略	1	7667
abm	茁	3	17962
abmc	䔴	0	0
abmf	䔜	0	0
abmf	𦶈	0	0
abmj	茁	0	17962
abmk	𠥱	0	0
abmt	𦽠	0	0
abmt	𦿎	0	0
abn	芤	3	0
abnb	芤	0	0
abnb	𦯍	0	0
abnt	蒸发	1	23414
aboa	节煤	1	0
abof	蒸烤	1	0
aboo	𧀙	0	0
abou	𦵸	0	0
abpd	𡚙	0	0
abpq	𦶤	0	0
abpr	攻子之盾	1	0
abpx	𦱆	0	0
abqb	𦺹	0	0
abqi	萨尔	1	24869
abqk	蒸锅	1	12312
abqm	𦮙	0	0
abqn	蒸馏	1	18360
abqn	𦻕	0	0
abr	菰	3	11217
abrg	节后	1	20736
abrj	㧭	0	0
abrk	节操	1	14639
abrm	节制	1	20290
abrn	节气	1	17958
abrr	节拍	1	19733
abru	萨拉	1	26736
abry	菰	0	11217
abse	荫棚	1	0
absg	节本	1	11561
absk	𠥍	0	0
abtb	𦰜	0	0
abtd	蒸笼	1	14274
abtf	节选	1	16533
abtf	𦰼	0	0
abtg	蕯	0	0
abth	𦸹	0	0
abti	蓀	0	11369
abtn	㲨	0	0
abtn	𦶇	0	0
abtp	䕖	0	0
abtr	萨特	1	21766
abtr	𦬏	0	0
abtu	𥞱	0	0
abtu	𦱞	0	0
abtv	节律	1	15840
abu	萨	3	32132
abub	𦽆	0	0
abub	𧃯	0	0
abud	节减	1	8841
abue	䔹	0	0
abue	节前	1	22399
abuf	茁壮	1	19750
abug	薩	0	29000
abuj	蘵	0	0
