loaded 1845 rows across 6 chars

=== verdict tally (1845 rows) ===
  UNCERTAIN         :  1579  ( 85.6%)
  LIKELY_SPURIOUS   :   133  (  7.2%)
  SPURIOUS          :   117  (  6.3%)
  LEGITIMATE        :    16  (  0.9%)

=== verdict by source char ===
  地: {'LEGITIMATE': 8, 'UNCERTAIN': 573, 'SPURIOUS': 37, 'LIKELY_SPURIOUS': 85}
  得: {'UNCERTAIN': 626, 'LEGITIMATE': 1, 'LIKELY_SPURIOUS': 23}
  的: {'UNCERTAIN': 101, 'SPURIOUS': 80, 'LIKELY_SPURIOUS': 7}
  了: {'LEGITIMATE': 4, 'UNCERTAIN': 222, 'LIKELY_SPURIOUS': 18}
  谁: {'LEGITIMATE': 2, 'UNCERTAIN': 57}
  那: {'LEGITIMATE': 1}
char	wrong_code	word	freq	primary	verdict	note
地	shide	史地	17050	shidi	UNCERTAIN	single-char prefix '史' + 助词 (likely legitimate N+助词,但 ambiguous)
地	xide	西地	17047	xidi	LEGITIMATE	whitelist N+助词
地	kadeya	卡地亚	16953	kadiya	UNCERTAIN	default
地	mingde	名地	16878	mingdi	UNCERTAIN	single-char prefix '名' + 助词 (likely legitimate N+助词,但 ambiguous)
地	bande	般地	16868	bandi	UNCERTAIN	single-char prefix '般' + 助词 (likely legitimate N+助词,但 ambiguous)
地	jujude	聚居地	16819	jujudi	UNCERTAIN	2-char prefix '聚居' + 助词 (V+助词 or 2-char N+助词)
地	dejishi	地级市	16747	dijishi	UNCERTAIN	default
地	liede	烈地	16698	liedi	UNCERTAIN	single-char prefix '烈' + 助词 (likely legitimate N+助词,但 ambiguous)
地	weidemala	危地马拉	16676	weidimala	UNCERTAIN	default
地	gaide	改地	16648	gaidi	UNCERTAIN	single-char prefix '改' + 助词 (likely legitimate N+助词,但 ambiguous)
地	mude	亩地	16646	mudi	UNCERTAIN	single-char prefix '亩' + 助词 (likely legitimate N+助词,但 ambiguous)
地	deguang	地广	16401	diguang	UNCERTAIN	default
地	dedi	地底	16370	didi	UNCERTAIN	default
地	jiede	借地	16184	jiedi	UNCERTAIN	single-char prefix '借' + 助词 (likely legitimate N+助词,但 ambiguous)
地	pude	铺地	16176	pudi	UNCERTAIN	single-char prefix '铺' + 助词 (likely legitimate N+助词,但 ambiguous)
地	jingtiande	惊天地	16075	jingtiandi	UNCERTAIN	2-char prefix '惊天' + 助词 (V+助词 or 2-char N+助词)
地	xiaode	笑地	16023	xiaodi	UNCERTAIN	single-char prefix '笑' + 助词 (likely legitimate N+助词,但 ambiguous)
地	luodeya	罗地亚	15984	luodiya	UNCERTAIN	default
地	dedidaodao	地地道道	15968	dididaodao	UNCERTAIN	default
