delete_code	word	freq	why
yepo	夜泊	9094	泊:po/bo del-prim b2
shendao	参道	9084	参:can/shen del-wrong b2
boyigua	卜一卦	9083	卜:bo/bu del-prim b2
dazhongne	大众呢	9083	呢:ne/ni del-prim b2
diecha	碟刹	9083	刹:sha/cha del-wrong b2
baiji	柏忌	9072	柏:bai/bo del-prim b2
tasha	塔刹	8927	刹:sha/cha del-prim b2
xiejiaozai	谢觉哉	8873	觉:jue/jiao del-wrong b2
shenbao	参保	8841	参:can/shen del-wrong b2
zhuti	筑堤	8822	堤:di/ti del-wrong b2
chikangyecai	吃糠咽菜	8731	咽:yan/ye del-wrong b2
daocha	倒刹	8731	刹:sha/cha del-wrong b2
xuewei	削微	8731	削:xue/xiao del-prim b2
tongbolu	桐柏路	8692	柏:bai/bo del-wrong b2
bingcan	兵参	8629	参:can/shen del-prim b2
jiaozhe	觉者	8604	觉:jue/jiao del-wrong b2
chenyangbeizhan	沈阳北站	8535	沈:shen/chen del-wrong b2
nanye	难咽	8535	咽:yan/ye del-wrong b2
jiaomin	觉民	8472	觉:jue/jiao del-wrong b2
xingchen	姓沈	8315	沈:shen/chen del-wrong b2
chenqiuxian	沈丘县	8267	沈:shen/chen del-wrong b2
posong	泊松	8135	泊:po/bo del-prim b2
shenjin	沈浸	8111	沈:shen/chen del-prim b2
agubai	阿古柏	8104	柏:bai/bo del-prim b2
yetong	咽痛	8097	咽:yan/ye del-wrong b2
chendao	沈导	8091	沈:shen/chen del-wrong b2
chifani	吃法呢	8091	呢:ne/ni del-wrong b2
liaocan	辽参	8091	参:can/shen del-prim b2
tijiao	体觉	8067	觉:jue/jiao del-wrong b2
jiaocha	觉查	8058	觉:jue/jiao del-wrong b2
nipoerren	尼泊尔人	8032	泊:po/bo del-prim b2
liboke	李卜克	7960	卜:bo/bu del-prim b2
luobu	罗卜	7959	卜:bo/bu del-wrong b2
chenhequ	沈河区	7836	沈:shen/chen del-wrong b2
manjiaolong	满觉陇	7836	觉:jue/jiao del-wrong b2
gezine	格子呢	7806	呢:ne/ni del-prim b2
shenxiang	参详	7791	参:can/shen del-wrong b2
tongjiao	统觉	7791	觉:jue/jiao del-wrong b2
poan	泊岸	7715	泊:po/bo del-prim b2
hencha	狠刹	7669	刹:sha/cha del-wrong b2
shenshang	参上	7615	参:can/shen del-wrong b2
shenbutou	参不透	7552	参:can/shen del-wrong b2
luobu	箩卜	7552	卜:bo/bu del-wrong b2
shenzhizhengshi	参知政事	7508	参:can/shen del-wrong b2
bozhe	卜者	7507	卜:bo/bu del-prim b2
shenni	沈溺	7482	沈:shen/chen del-prim b2
shenshen	深沈	7482	沈:shen/chen del-prim b2
miaojiao	妙觉	7477	觉:jue/jiao del-wrong b2
tiyuan	堤垸	7454	堤:di/ti del-wrong b2
pochuan	泊船	7404	泊:po/bo del-prim b2
libokenei	李卜克内	7289	卜:bo/bu del-prim b2
poqinhuai	泊秦淮	7233	泊:po/bo del-prim b2
pangru	彷如	7182	彷:pang/fang del-prim b2
doubolei	都卜勒	7180	卜:bo/bu del-prim b2
nipoeryu	尼泊尔语	7061	泊:po/bo del-prim b2
shenyuan	参院	6966	参:can/shen del-wrong b2
chenkuo	沈括	6936	沈:shen/chen del-wrong b2
jiaoshen	教参	6927	参:can/shen del-wrong b2
chenyangtieluju	沈阳铁路局	6824	沈:shen/chen del-wrong b2
tidao	堤道	6756	堤:di/ti del-wrong b2
daboshu	大柏树	6722	柏:bai/bo del-wrong b2
beijiao	倍觉	6442	觉:jue/jiao del-wrong b2
shendian	沈淀	6442	沈:shen/chen del-prim b2
shenhuizhe	参会者	6380	参:can/shen del-wrong b2
shenkuaizhe	参会者	6380	参:can/shen del-wrong b2
fanggene	方格呢	6363	呢:ne/ni del-prim b2
bailiaozi	柏辽兹	6344	柏:bai/bo del-prim b2
boren	蕃人	6344	蕃:fan/bo del-wrong b2
chenyangjunqu	沈阳军区	6105	沈:shen/chen del-wrong b2
anti	岸堤	6064	堤:di/ti del-wrong b2
zhishen	值参	6032	参:can/shen del-wrong b2
jibolin	吉卜林	5944	卜:bo/bu del-prim b2
shaojiao	稍觉	5930	觉:jue/jiao del-wrong b2
xinti	新堤	5895	堤:di/ti del-wrong b2
boke	蕃客	5686	蕃:fan/bo del-wrong b2
chenyangtiyuxueyuan	沈阳体育学院	5633	沈:shen/chen del-wrong b2
weiti	围堤	5526	堤:di/ti del-wrong b2
xiebi	邪辟	5433	辟:pi/bi del-wrong b2
tigeng	堤埂	5393	堤:di/ti del-wrong b2
xixue	铣削	5393	削:xue/xiao del-prim b2
chazha	刹闸	5286	刹:sha/cha del-wrong b2
shengjiao	声觉	5286	觉:jue/jiao del-wrong b2
