delete_code	word	freq	why
xiuzhang	袖长	16226	del_prim
quanchong	全重	16191	del_wrong
nanhang	南行	16160	del_wrong
chongzao	重造	16158	del_wrong
xianghuzunchong	相互尊重	16120	del_wrong
shuchang	署长	16091	del_wrong
hangyun	行云	16083	del_wrong
zhuhang	诸行	16034	del_wrong
yizhang	衣长	15948	del_prim
hangdaiyun	行大运	15909	del_wrong
hangdayun	行大运	15909	del_wrong
changhuzi	长胡子	15875	del_wrong
qinxing	琴行	15801	del_prim
zhangdeng	长凳	15763	del_prim
chongji	重机	15686	del_wrong
zhangwei	长尾	15631	del_prim
chonggou	重构	15625	del_wrong
lishichang	理事长	15530	del_wrong
beihang	北行	15460	del_wrong
hangsu	行速	15435	del_wrong
zhangchuan	长传	15322	del_prim
zhangchuan	长传	15322	del_prim
zhangjiao	长脚	15308	del_prim
zhangjian	长兼	15294	del_prim
zhuchong	著重	15264	del_wrong
changzhouwen	长皱纹	15246	del_wrong
jianchang	渐长	15234	del_wrong
zhidezunchong	值得尊重	15209	del_wrong
zhongxue	重学	15203	del_prim
mianzhang	绵长	15141	del_prim
zhangxiong	长胸	15111	del_prim
zhongran	重燃	15066	del_prim
nahang	哪行	15064	del_wrong
fenzhang	分长	15034	del_prim
lvchang	旅长	14992	del_wrong
lvezhang	略长	14942	del_prim
zhangshi	长史	14869	del_prim
changban	长斑	14852	del_wrong
erxing	二行	14842	del_prim
kuzhang	裤长	14801	del_prim
hangbu	行部	14795	del_wrong
zhangbie	长别	14712	del_prim
zhangxue	长靴	14694	del_prim
lingzhang	灵长	14648	del_prim
shihang	十行	14575	del_wrong
hangzhi	行知	14568	del_wrong
xuehang	学行	14543	del_wrong
zhanghen	长恨	14472	del_prim
shichong	释重	14463	del_wrong
xingshu	行数	14405	del_prim
zhonggui	重归	14395	del_prim
chongxing	重刑	14311	del_wrong
jixing	几行	14310	del_prim
nazenmehang	那怎么行	14260	del_wrong
hangtianxia	行天下	14259	del_wrong
jihang	急行	14186	del_wrong
zhangchuan	长串	14099	del_prim
bianchong	变重	14005	del_wrong
techong	特重	13917	del_wrong
zongcanmouchang	总参谋长	13904	del_wrong
genzhang	根长	13889	del_prim
dahangqidao	大行其道	13851	del_wrong
tongzhang	同长	13767	del_prim
zhangbi	长臂	13765	del_prim
zhangbi	长臂	13765	del_prim
zhangzhuo	长桌	13668	del_prim
minxingqu	闵行区	13497	del_prim
hangxiazhangyi	行侠仗义	13494	del_wrong
hangzhao	行照	13490	del_wrong
shixing	市行	13488	del_prim
shengxing	省行	13424	del_prim
zhongshua	重刷	13384	del_prim
hushanhang	虎山行	13366	del_wrong
zunchang	尊长	13341	del_wrong
jiaozhangshijian	较长时间	13221	del_prim
hangseng	行僧	13199	del_wrong
pianchang	片长	13167	del_wrong
