delete_code	word	freq	why
doujuan	兜圈	13175	圈:quan/juan del-wrong b2
juanwairen	圈外人	13134	圈:quan/juan del-wrong b2
xuediao	削掉	13108	削:xue/xiao del-prim b2
keji	科系	13079	系:xi/ji del-wrong b2
abodu	阿卜杜	13064	卜:bo/bu del-prim b2
chenyangzhan	沈阳站	13030	沈:shen/chen del-wrong b2
dayine	大衣呢	12975	呢:ne/ni del-prim b2
boshu	蕃薯	12953	蕃:fan/bo del-wrong b2
shenjiao	深觉	12908	觉:jue/jiao del-wrong b2
wuliji	物理系	12893	系:xi/ji del-wrong b2
sijuan	四圈	12792	圈:quan/juan del-wrong b2
neijuan	内圈	12775	圈:quan/juan del-wrong b2
mingji	名系	12760	系:xi/ji del-wrong b2
caiji	菜系	12717	系:xi/ji del-wrong b2
xuecheng	削成	12712	削:xue/xiao del-prim b2
batiya	芭堤雅	12685	堤:di/ti del-wrong b2
liaochen	辽沈	12635	沈:shen/chen del-wrong b2
xuepingguo	削苹果	12591	削:xue/xiao del-prim b2
juesaijuan	决赛圈	12441	圈:quan/juan del-wrong b2
hunjuan	混圈	12420	圈:quan/juan del-wrong b2
shoucan	手参	12351	参:can/shen del-prim b2
shuizhaojue	睡着觉	12330	觉:jue/jiao del-prim b2
cankaoji	参考系	12246	系:xi/ji del-wrong b2
xuequ	削去	12236	削:xue/xiao del-prim b2
jiaoshu	觉书	12215	觉:jue/jiao del-wrong b2
baba	耙耙	12189	耙:ba/pa del-prim b2
bozhong	泊中	12181	泊:po/bo del-wrong b2
bajuan	八圈	12166	圈:quan/juan del-wrong b2
yijuanjuan	一圈圈	12087	圈:quan/juan del-wrong b2
yijuanquan	一圈圈	12087	圈:quan/juan del-wrong b2
yiquanjuan	一圈圈	12087	圈:quan/juan del-wrong b2
peiji	配系	12068	系:xi/ji del-wrong b2
wenhuajuan	文化圈	12012	圈:quan/juan del-wrong b2
jiaoyuan	觉远	11977	觉:jue/jiao del-wrong b2
yingjuan	影圈	11911	圈:quan/juan del-wrong b2
shengu	参股	11907	参:can/shen del-wrong b2
zhongjue	中觉	11888	觉:jue/jiao del-prim b2
