# code	word	freq	source
#
# Library file — single source of truth for the pinyin dict.
# Editing rules (2026-06-03+ 治理 architecture):
#
#   - ADD/MODIFY (Class A 加词): hand-add row with source=polish.
#     `make polish-rebuild` propagates the change through pinyin.dict
#     → words.idf to every consumer.
#
#   - DELETE wrong entry (Class D1): delete row + append to
#     `tools/scoring/data/corpus_garbage_filter_v1.tsv` so next
#     digest can't re-admit.
#
#   - HIDE valid entry from Path-1 (Class D2): add to
#     `tools/scoring/data/exclusions_v1.tsv`. DON'T touch this file.
#
#   - INGEST upstream corpus: use corpus-digest tool (TBD), writes
#     source=digested rows + appends digest_log event. Hand-editing
#     digested rows is FINE — they become polish on next pass.
#
# Schema columns:
#   code   pinyin spelling (lowercase, no tones)
#   word   output string
#   freq   raw frequency (u32)
#   source "digested" (from corpus pipeline) | "polish" (hand-edit)
#
aerbeisishan	阿尔卑斯山	14075	digested
aerbeisishanmai	阿尔卑斯山脉	9966	digested
aerbeisishanqu	阿尔卑斯山区	4193	digested
aerbeite	阿尔贝特	6560	digested
aerbeituo	阿尔贝托	7781	digested
aerbi	阿尔比	6105	digested
aerbo	阿尔伯	14916	digested
aerbo	阿尔博	4961	digested
aerbo	阿尔波	1493	digested
aerboke	阿尔伯克	6025	digested
aerbote	阿尔伯特	13573	digested
aerbuke	阿尔布克	3135	digested
aerci	阿尔茨	10366	digested
aercihaimo	阿尔茨海默	13378	digested
aercihaimoshizheng	阿尔茨海默氏症	5686	digested
aerda	阿尔达	6756	digested
aerdabula	阿尔达布拉	1493	digested
aerde	阿尔德	8306	digested
aerding	阿尔丁	2367	digested
aerdu	阿尔杜	2367	digested
aerduyi	阿尔杜伊	2367	digested
aerfa	阿尔发	2367	digested
aerfa	阿尔法	16953	digested
aerfei	阿尔费	5369	digested
aerfeng	阿尔丰	2987	digested
aerfu	阿尔夫	5073	digested
aerfu	阿尔弗	10738	digested
aerfulai	阿尔弗莱	5354	digested
aerfulei	阿尔弗雷	10369	digested
aerfusi	阿尔福斯	2367	digested
aergao	阿尔高	1493	digested
aerge	阿尔戈	7425	digested
aerge	阿耳戈	6756	digested
aergesi	阿尔戈斯	6738	digested
aergong	阿尔贡	1493	digested
aergun	阿尔衮	2987	digested
aergunqin	阿尔衮琴	2367	digested
aerha	阿尔哈	2367	digested
aerhan	阿尔汗	2367	digested
aerhangeersike	阿尔汉格尔斯克	3468	digested
aerji	阿尔基	1493	digested
aerjia	阿尔加	4643	digested
aerjier	阿尔及尔	10923	digested
aerjiliya	阿尔及利亚	18102	digested
aerjiliyaren	阿尔及利亚人	8347	digested
aerjin	阿尔金	5835	digested
aerjinshan	阿尔金山	5527	digested
aerka	阿尔卡	9349	digested
aerka	阿尔喀	3468	digested
aerkai	阿尔凯	2987	digested
aerkala	阿尔卡拉	2367	digested
aerkan	阿尔坎	3239	digested
aerkate	阿尔卡特	5771	digested
aerke	阿尔克	8957	digested
aerlei	阿尔勒	5433	digested
aerli	阿尔利	5369	digested
aerma	阿尔玛	13394	digested
aerma	阿尔马	5114	digested
aermo	阿尔万	2367	digested
aerni	阿尔尼	4845	digested
aernimu	阿尔尼姆	1493	digested
aernuo	阿尔诺	3468	digested
aernuohe	阿尔诺河	2367	digested
aerpa	阿尔帕	10321	digested
