# Derived from wainshine/Chinese-Names-Corpus (Apache-2.0), the
# Chinese_Names_Corpus（120W）.txt full-name list. Regenerate via
# tools/scoring/03b_pollution/build_name_chars.py — DO NOT EDIT BY HAND.
# char<TAB>given_name_count (desc)
梓	714
乾	710
枝	710
贝	710
令	709
意	703
蔚	689
岚	683
影	682
征	680
言	679
盼	674
曦	672
谦	672
乃	671
夫	670
沛	668
非	668
时	665
观	665
肖	664
岭	660
瑾	660
前	659
以	658
功	657
四	654
寒	647
齐	643
煜	641
理	638
人	637
声	629
妙	625
韵	624
献	622
捷	616
婕	614
阿	611
钟	610
斐	609
筱	609
娴	608
映	608
沙	607
儒	605
初	603
桐	600
余	596
丁	592
皓	591
枫	590
媚	589
名	587
渊	581
九	580
佑	575
营	574
津	570
举	569
原	568
展	566
秉	565
钊	561
再	559
得	559
印	552
杏	546
鲁	543
伊	541
李	540
殿	536
毓	536
婵	535
白	533
贺	533
昱	532
经	530
付	528
念	528
舟	522
起	516
宣	510
煌	510
化	508
火	508
添	507
琛	503
果	499
萱	499
千	498
烨	497
冲	490
品	487
翰	486
劲	482
铃	482
祺	480
魁	480
禹	478
甫	471
寅	470
召	469
珂	468
重	468
百	465
壮	463
咏	462
允	461
姝	460
霄	454
硕	452
茵	449
好	448
霜	448
望	447
猛	447
公	445
乔	443
申	443
弘	441
易	440
多	439
合	435
济	435
韬	429
爽	428
攀	427
端	423
潮	421
榕	419
轶	417
冉	411
北	411
芷	407
岗	404
童	402
衡	401
里	401
任	400
战	400
柯	400
普	399
述	397
韶	395
懿	394
溪	394
鼎	394
庚	391
绮	388
弟	387
俐	386
苹	386
烈	385
卉	377
晗	376
联	376
陈	376
颜	373
啸	370
峻	364
衍	364
玥	360
池	356
旗	355
尔	353
幸	351
淼	348
曙	347
伶	346
繁	344
龄	344
丛	343
野	343
棠	342
实	339
必	339
玺	339
季	338
桦	338
丙	336
幼	336
旋	336
翼	333
焱	332
臻	332
挺	331
帮	330
州	329
王	328
农	327
球	327
澄	326
致	326
郁	326
鹰	322
晔	320
浪	318
甲	318
深	317
效	312
知	312
革	312
语	309
艾	308
瀚	306
格	305
峥	304
歌	304
靓	302
师	299
姿	298
音	297
荷	295
现	294
泓	293
选	293
舜	292
玫	288
嫣	287
俭	286
闻	284
阁	284
唯	283
复	283
铮	282
井	280
优	280
含	280
泳	280
典	279
祯	279
改	277
莺	277
璋	276
慈	275
佐	274
训	274
炯	273
畅	271
苑	271
淳	269
坡	268
姬	267
赞	267
韦	265
屏	264
恺	262
放	262
铎	262
晟	261
渝	261
湖	261
麒	261
在	260
琰	260
琨	258
官	257
留	255
赫	255
蓝	253
楷	252
纲	252
罗	252
镜	251
于	250
毛	249
蕴	249
杭	248
朗	247
见	247
诺	246
沁	244
祝	244
争	243
昂	243
杉	242
漫	241
淇	240
滢	238
步	237
筠	236
霏	235
关	234
戈	234
陆	234
招	230
玄	230
珏	230
桢	229
樱	229
丝	227
五	226
恬	224
驰	224
谷	223
竞	222
录	220
敦	219
慕	218
遥	218
范	217
领	216
则	215
巨	215
忆	214
锁	214
骥	214
辛	212
逢	211
旦	209
鉴	207
腊	206
键	206
棋	205
稳	204
谊	204
澜	203
陶	203
予	202
颂	202
研	201
庄	197
张	197
陵	197
秦	195
植	194
璞	193
曾	191
柔	191
滔	190
嵩	189
涌	189
墨	188
洛	188
社	187
纬	184
豫	184
俏	183
孔	183
严	182
凝	182
牧	182
策	182
习	181
妤	181
密	181
昀	180
干	178
豹	178
宸	177
情	175
吟	174
默	174
葵	173
蕙	173
刘	172
村	172
想	171
旻	171
楼	170
禾	170
鸽	170
亨	169
歆	169
图	168
谋	168
积	167
茗	166
慎	165
穗	165
都	164
六	162
土	162
米	162
介	161
廉	161
笛	160
芮	160
隽	160
霆	160
闯	158
肇	157
迅	157
岑	155
特	155
骅	155
嵘	154
贻	154
仓	153
侃	153
岐	153
鸥	153
叔	151
勃	150
团	150
融	150
缘	149
芊	149
未	146
芯	146
上	145
徽	145
绿	145
蝶	145
灏	144
记	144
校	143
流	143
港	143
萧	143
际	143
恭	142
晏	142
耿	142
菡	142
骁	142
尊	140
珑	140
朴	139
璟	139
翊	138
赟	138
屹	137
湾	137
钱	137
欧	136
粉	136
蔓	136
创	135
妃	135
砚	135
蛟	135
采	135
魏	135
冀	134
游	134
用	134
节	133
荔	133
骞	133
彭	132
祎	131
罡	131
誉	131
今	130
珩	130
纳	130
更	128
术	127
翎	127
胤	127
湛	126
呈	125
施	125
淮	125
垒	124
烽	124
伍	123
昶	123
牛	123
亿	122
焰	122
众	121
尘	121
喆	120
耕	120
鲜	120
傲	119
引	119
斗	119
汶	119
聚	119
奋	118
珺	118
至	118
何	117
居	117
惟	117
觉	117
铨	117
地	116
漪	116
珉	116
芙	116
唐	115
熊	115
谨	115
丕	114
炫	114
眉	114
荫	114
闽	114
临	113
嫦	113
徐	113
乙	112
尹	112
模	112
汇	112
函	111
槐	111
皎	111
院	111
耘	110
许	110
列	109
女	109
宛	109
岱	109
桓	109
炼	108
精	108
锴	108
雍	108
拓	107
桑	107
烁	106
熠	106
熹	106
又	105
黄	105
勉	104
结	104
豆	104
驹	104
