# pinyin	word	freq_score
# generated by pinyin-build-weights — DO NOT EDIT BY HAND. Regenerate via:
#   cargo run --features tools --release --bin pinyin-build-weights
adinghuangsu	吖啶黄素	0
adiping	阿的平	0
adisi	阿迪斯	4589
adizi	阿弟仔	0
adong	呵冻	0
adong	阿东	4589
adou	阿斗	12300
adude	阿杜德	7485
aduer	阿杜尔	0
adun	阿顿	12514
aduoernuo	阿多尔诺	0
aduonuo	阿多诺	12074
aduwa	阿杜瓦	4589
aduwu	阿堵物	4589
aenhaimu	阿恩海姆	2895
aerai	阿尔艾	0
aerba	阿尔巴	25271
aerbani	阿尔巴尼	25101
aerbaniya	阿尔巴尼亚	28226
aerbaniyaren	阿尔巴尼亚人	19711
aerbaniyayu	阿尔巴尼亚语	8129
aerbaniyazu	阿尔巴尼亚族	7485
aerbei	阿尔卑	19195
aerbei	阿尔贝	17922
aerbeide	阿尔贝德	9619
aerbeidi	阿尔贝蒂	9619
aerbeier	阿尔贝尔	0
aerbeisi	阿尔卑斯	19153
aerbeisishan	阿尔卑斯山	18357
aerbeisishanmai	阿尔卑斯山脉	14606
aerbeisishanqu	阿尔卑斯山区	8129
aerbeisisheng	阿尔卑斯省	0
aerbeite	阿尔贝特	12718
aerbeituo	阿尔贝托	13446
aerbi	阿尔比	11835
aerbo	阿尔伯	23048
aerbo	阿尔博	9619
aerbo	阿尔波	2895
aerboda	阿尔伯达	0
aerboke	阿尔伯克	10715
aerbote	阿尔伯特	22005
aerbuke	阿尔布克	5791
aerbuzuo	阿尔布佐	0
aercha	阿尔察	0
aerci	阿尔茨	13446
aercihaimo	阿尔茨海默	18252
aercihaimoshizheng	阿尔茨海默氏症	5791
aerda	阿尔达	13098
aerdabula	阿尔达布拉	2895
aerdaishen	阿尔代什	0
aerdan	阿尔丹	0
aerde	阿尔德	14731
aerdeng	阿尔登	0
aerding	阿尔丁	4589
aerdousai	阿尔都塞	0
aerdouse	阿尔都塞	0
aerdu	阿尔杜	4589
aerdun	阿尔顿	0
aerdusai	阿尔杜塞	0
aerdusai	阿尔都塞	0
aerduse	阿尔杜塞	0
aerduse	阿尔都塞	0
aerdusi	阿尔杜斯	0
aerduyi	阿尔杜伊	4589
aerfa	阿尔发	4589
aerfa	阿尔法	22842
aerfa	阿耳发	0
aerfalizi	阿尔法粒子	0
aerfei	阿尔费	9619
aerfeiye	阿尔菲耶	0
aerfeng	阿尔丰	5791
aerfengsuo	阿尔丰索	0
aerfu	阿尔夫	7485
aerfu	阿尔弗	19067
aerfulai	阿尔弗莱	10380
aerfulei	阿尔弗雷	18357
aerfusi	阿尔福斯	4589
aergao	阿尔高	2895
aerge	阿尔戈	13098
aerge	阿尔格	0
aerge	阿耳戈	13098
aergesi	阿尔戈斯	11582
aergong	阿尔贡	2895
aergun	阿尔衮	5791
aergunqin	阿尔衮琴	4589
aerha	阿尔哈	4589
aerhan	阿尔汗	4589
aerhangeersike	阿尔汉格尔斯克	6723
aerhe	阿尔赫	0
aerhexi	阿尔赫西	0
aerhun	阿儿浑	0
aerji	阿尔基	2895
aerjia	阿尔加	5791
aerjiawei	阿尔加维	0
aerjie	阿尔捷	0
aerjier	阿尔及尔	16585
aerjiliya	阿尔及利亚	22396
aerjiliyaminzhurenmingongheguo	阿尔及利亚民主人民共和国	0
aerjiliyaminzhurenmingonghuoguo	阿尔及利亚民主人民共和国	0
aerjiliyaren	阿尔及利亚人	14066
aerjiluo	阿尔基洛	0
aerjin	阿尔金	11312
aerjinshan	阿尔金山	10715
aerka	阿尔卡	13920
aerka	阿尔喀	6723
aerkai	阿尔凯	5791
aerkaiao	阿尔凯奥	0
aerkala	阿尔卡拉	4589
aerkalei	阿尔卡勒	0
aerkan	阿尔坎	5791
aerkate	阿尔卡特	8129
aerkategongsi	阿尔卡特公司	0
aerke	阿尔克	13610
aerlei	阿尔勒	5791
aerli	阿尔利	9619
aerma	阿尔玛	21646
aerma	阿尔马	9178
aermage	阿尔玛格	0
aermengde	阿尔蒙德	0
aermi	阿尔弥	0
aermida	阿尔米达	0
aermingni	阿尔明尼	0
aermo	阿尔万	4589
aermo	阿尔摩	0
aermo	阿尔莫	0
aermoha	阿尔摩哈	0
aermu	阿尔穆	0
aermuni	阿尔穆尼	0
aermuniya	阿尔穆尼亚	0
aermuwa	阿尔穆瓦	0
aerni	阿尔尼	8686
aernimu	阿尔尼姆	2895
aernong	阿尔农	0
aernuo	阿尔诺	6723
aernuohe	阿尔诺河	4589
aerpa	阿尔帕	16171
aerpade	阿尔帕德	10380
aerpai	阿尔派	0
aerpi	阿尔皮	0
aerpu	阿尔普	6723
aerqiao	阿尔乔	0
aerqiong	阿尔琼	5791
aersai	阿尔塞	0
aersasi	阿尔萨斯	17979
aerse	阿尔塞	0
aershan	阿尔山	8686
aershanshi	阿尔山市	5791
aersi	阿尔斯	16171
aersilan	阿尔斯兰	10017
aersite	阿尔斯特	14731
aersitong	阿尔斯通	8129
aersuo	阿尔索	0
aersuoyi	阿尔索伊	0
aerta	阿尔塔	14345
aertai	阿尔泰	17438
aertaishan	阿尔泰山	9619
aertaishanmai	阿尔泰山脉	2895
aertamila	阿尔塔米拉	11024
aerte	阿尔忒	12718
aerte	阿尔特	11835
aertemi	阿尔忒弥	12718
aerteng	阿尔滕	0
aerteng	阿尔腾	0
aertu	阿尔图	7485
aertuluo	阿尔图罗	0
aertuo	阿尔托	11582
aertuofu	阿尔托夫	0
aerwa	阿尔瓦	12300
aerwaladuo	阿尔瓦拉多	8129
aerwalei	阿尔瓦雷	8129
aerwaluo	阿尔瓦罗	9619
aerwan	阿尔万	4589
aerwei	阿尔韦	5791
aerweisi	阿尔维斯	16815
aerwen	阿尔文	16083
aerwenhao	阿尔文号	0
aerwolan	阿尔沃兰	0
aerxi	阿尔希	6723
aerxi	阿尔西	14208
aerxianjiyefu	阿尔先季耶夫	0
aerxibofu	阿尔希波夫	6723
aerxieni	阿尔谢尼	0
aerze	阿尔泽	0
afaer	阿法尔	6723
afala	阿法拉	2895
afang	阿房	18252
afanggongfu	阿房宫赋	0
afanggongyizhi	阿房宫遗址	5791
afangsuo	阿方索	19153
afanti	阿凡提	11312
afantiqi	阿凡提妻	0
afei	阿菲	14477
afei	阿非	18408
afei	阿飞	22174
afeili	阿非利	17564
afeilijia	阿非利加	13920
