# words.tsv — Phase 2 ingest from CC-CEDICT + HSK 2.0
# Schema: code\tword\treading_path\ttier\tsource
# reading_path: [char|reading][char|reading]... showing
#   exactly which reading of each char is used.
# tier: 1-3 HSK / 4-6 cedict by word length.
qizi	妻子	[妻|qī][子|zi]	1	cedict+hsk2
qizi	妻子	[妻|qī][子|zi]	1	cedict+hsk2
qunian	去年	[去|qù][年|nián]	1	cedict+hsk2
renshi	认识	[认|rèn][识|shí]	1	cedict+hsk1
shangban	上班	[上|shàng][班|bān]	1	cedict+hsk2
shangdian	商店	[商|shāng][店|diàn]	1	cedict+hsk1
shangwu	上午	[上|shàng][午|wǔ]	1	cedict+hsk1
shengbing	生病	[生|shēng][病|bìng]	1	cedict+hsk2
shengri	生日	[生|shēng][日|rì]	1	cedict+hsk2
shenme	什么	[什|shén][么|me]	1	cedict+hsk1
shenti	身体	[身|shēn][体|tǐ]	1	cedict+hsk2
shihou	时候	[时|shí][候|hòu]	1	cedict+hsk1
shijian	时间	[时|shí][间|jiān]	1	cedict+hsk2
shiqing	事情	[事|shì][情|qíng]	1	cedict+hsk2
shoubiao	手表	[手|shǒu][表|biǎo]	1	cedict+hsk2
shouji	手机	[手|shǒu][机|jī]	1	cedict+hsk2
shuiguo	水果	[水|shuǐ][果|guǒ]	1	cedict+hsk1
shuijiao	睡觉	[睡|shuì][觉|jiào]	1	cedict+hsk1
shuohua	说话	[说|shuō][话|huà]	1	cedict+hsk1
suoyi	所以	[所|suǒ][以|yǐ]	1	cedict+hsk2
tianqi	天气	[天|tiān][气|qì]	1	cedict+hsk1
tiaowu	跳舞	[跳|tiào][舞|wǔ]	1	cedict+hsk2
tongxue	同学	[同|tóng][学|xué]	1	cedict+hsk1
wanshang	晚上	[晚|wǎn][上|shàng]	1	cedict+hsk2
wenti	问题	[问|wèn][题|tí]	1	cedict+hsk2
women	我们	[我|wǒ][们|men]	1	cedict+hsk1
xiansheng	先生	[先|xiān][生|shēng]	1	cedict+hsk1
xianzai	现在	[现|xiàn][在|zài]	1	cedict+hsk1
xiaojie	小姐	[小|xiǎo][姐|jiě]	1	cedict+hsk1
xiaoshi	小时	[小|xiǎo][时|shí]	1	cedict+hsk2
xiawu	下午	[下|xià][午|wǔ]	1	cedict+hsk1
xiayu	下雨	[下|xià][雨|yǔ]	1	cedict+hsk1
xiexie	谢谢	[谢|xiè][谢|xiè]	1	cedict+hsk1
xigua	西瓜	[西|xī][瓜|guā]	1	cedict+hsk2
xihuan	喜欢	[喜|xǐ][欢|huān]	1	cedict+hsk1
xingqi	星期	[星|xīng][期|qī]	1	cedict+hsk1
xiuxi	休息	[休|xiū][息|xī]	1	cedict+hsk2
xiwang	希望	[希|xī][望|wàng]	1	cedict+hsk2
xuesheng	学生	[学|xué][生|shēng]	1	cedict+hsk1
xuexi	学习	[学|xué][习|xí]	1	cedict+hsk1
xuexiao	学校	[学|xué][校|xiào]	1	cedict+hsk1
yangrou	羊肉	[羊|yáng][肉|ròu]	1	cedict+hsk2
yanjing	眼睛	[眼|yǎn][睛|jīng]	1	cedict+hsk2
yanse	颜色	[颜|yán][色|sè]	1	cedict+hsk2
yifu	衣服	[衣|yī][服|fú]	1	cedict+hsk1
yijing	已经	[已|yǐ][经|jīng]	1	cedict+hsk2
yinwei	因为	[因|yīn][为|wèi]	1	cedict+hsk2
yiqi	一起	[一|yī][起|qǐ]	1	cedict+hsk2
yisheng	医生	[医|yī][生|shēng]	1	cedict+hsk1
yisi	意思	[意|yì][思|sī]	1	cedict+hsk2
yiyuan	医院	[医|yī][院|yuàn]	1	cedict+hsk1
yizi	椅子	[椅|yǐ][子|zi]	1	cedict+hsk1
youbian	右边	[右|yòu][边|biān]	1	cedict+hsk2
youyong	游泳	[游|yóu][泳|yǒng]	1	cedict+hsk2
yundong	运动	[运|yùn][动|dòng]	1	cedict+hsk2
zaijian	再见	[再|zài][见|jiàn]	1	cedict+hsk1
zaoshang	早上	[早|zǎo][上|shàng]	1	cedict+hsk2
zenme	怎么	[怎|zěn][么|me]	1	cedict+hsk1
zenmeyang	怎么样	[怎|zěn][么|me][样|yàng]	1	cedict+hsk1
zhangfu	丈夫	[丈|zhàng][夫|fū]	1	cedict+hsk2
zhengzai	正在	[正|zhèng][在|zài]	1	cedict+hsk2
zhidao	知道	[知|zhī][道|dào]	1	cedict+hsk2
zhongwu	中午	[中|zhōng][午|wǔ]	1	cedict+hsk1
zhunbei	准备	[准|zhǔn][备|bèi]	1	cedict+hsk2
zhuozi	桌子	[桌|zhuō][子|zi]	1	cedict+hsk1
zixingche	自行车	[自|zì][行|xíng][车|chē]	1	cedict+hsk2
zuobian	左边	[左|zuǒ][边|biān]	1	cedict+hsk2
zuotian	昨天	[昨|zuó][天|tiān]	1	cedict+hsk1
aihao	爱好	[爱|ài][好|hǎo]	2	cedict+hsk3
aiqing	爱情	[爱|ài][情|qíng]	2	cedict+hsk4
anjing	安静	[安|ān][静|jìng]	2	cedict+hsk3
anpai	安排	[安|ān][排|pái]	2	cedict+hsk4
anquan	安全	[安|ān][全|quán]	2	cedict+hsk4
anshi	按时	[按|àn][时|shí]	2	cedict+hsk4
anzhao	按照	[按|àn][照|zhào]	2	cedict+hsk4
ayi	阿姨	[阿|ā][姨|yí]	2	cedict+hsk3
banfa	办法	[办|bàn][法|fǎ]	2	cedict+hsk3
bangmang	帮忙	[帮|bāng][忙|máng]	2	cedict+hsk3
bangongshi	办公室	[办|bàn][公|gōng][室|shì]	2	cedict+hsk3
baodao	报道	[报|bào][道|dào]	2	cedict+hsk4
baohu	保护	[保|bǎo][护|hù]	2	cedict+hsk4
baokuo	包括	[包|bāo][括|kuò]	2	cedict+hsk4
baoming	报名	[报|bào][名|míng]	2	cedict+hsk4
baoqian	抱歉	[抱|bào][歉|qiàn]	2	cedict+hsk4
baozheng	保证	[保|bǎo][证|zhèng]	2	cedict+hsk4
beifang	北方	[北|běi][方|fāng]	2	cedict+hsk3
benlai	本来	[本|běn][来|lái]	2	cedict+hsk4
bianhua	变化	[变|biàn][化|huà]	2	cedict+hsk3
biaoda	表达	[表|biǎo][达|dá]	2	cedict+hsk4
biaoge	表格	[表|biǎo][格|gé]	2	cedict+hsk4
biaoshi	表示	[表|biǎo][示|shì]	2	cedict+hsk3
biaoyan	表演	[表|biǎo][演|yǎn]	2	cedict+hsk3
biaoyang	表扬	[表|biǎo][扬|yáng]	2	cedict+hsk4
biaozhun	标准	[标|biāo][准|zhǔn]	2	cedict+hsk4
bieren	别人	[别|bié][人|rén]	2	cedict+hsk3
bijiao	比较	[比|bǐ][较|jiào]	2	cedict+hsk3
bijiben	笔记本	[笔|bǐ][记|jì][本|běn]	2	cedict+hsk4
binggan	饼干	[饼|bǐng][干|gàn]	2	cedict+hsk4
bingqie	并且	[并|bìng][且|qiě]	2	cedict+hsk4
binguan	宾馆	[宾|bīn][馆|guǎn]	2	cedict+hsk3
bingxiang	冰箱	[冰|bīng][箱|xiāng]	2	cedict+hsk3
bisai	比赛	[比|bǐ][赛|sài]	2	cedict+hsk3
bixu	必须	[必|bì][须|xū]	2	cedict+hsk3
biye	毕业	[毕|bì][业|yè]	2	cedict+hsk4
bizi	鼻子	[鼻|bí][子|zi]	2	cedict+hsk3
boshi	博士	[博|bó][士|shì]	2	cedict+hsk4
budan	不但	[不|bù][但|dàn]	2	cedict+hsk4
budebu	不得不	[不|bù][得|dé][不|bù]	2	cedict+hsk4
bufen	部分	[部|bù][分|fēn]	2	cedict+hsk4
buguan	不管	[不|bù][管|guǎn]	2	cedict+hsk4
buguo	不过	[不|bù][过|guò]	2	cedict+hsk4
bujin	不仅	[不|bù][仅|jǐn]	2	cedict+hsk4
caidan	菜单	[菜|cài][单|dān]	2	cedict+hsk3
cailiao	材料	[材|cái][料|liào]	2	cedict+hsk4
canguan	参观	[参|cān][观|guān]	2	cedict+hsk4
canjia	参加	[参|cān][加|jiā]	2	cedict+hsk3
chabuduo	差不多	[差|chà][不|bù][多|duō]	2	cedict+hsk4
chaoguo	超过	[超|chāo][过|guò]	2	cedict+hsk4
chaoshi	超市	[超|chāo][市|shì]	2	cedict+hsk3
chenggong	成功	[成|chéng][功|gōng]	2	cedict+hsk4
chengji	成绩	[成|chéng][绩|jì]	2	cedict+hsk3
chengshi	城市	[城|chéng][市|shì]	2	cedict+hsk3
chengshi	诚实	[诚|chéng][实|shí]	2	cedict+hsk4
chengshu	成熟	[成|chéng][熟|shú]	2	cedict+hsk4
chengwei	成为	[成|chéng][为|wèi]	2	cedict+hsk4
chengzuo	乘坐	[乘|chéng][坐|zuò]	2	cedict+hsk4
chenshan	衬衫	[衬|chèn][衫|shān]	2	cedict+hsk3
chidao	迟到	[迟|chí][到|dào]	2	cedict+hsk3
chijing	吃惊	[吃|chī][惊|jīng]	2	cedict+hsk4
chongdian	重点	[重|chóng][点|diǎn]	2	cedict+hsk4
chongxin	重新	[重|chóng][新|xīn]	2	cedict+hsk4
chouyan	抽烟	[抽|chōu][烟|yān]	2	cedict+hsk4
chuanghu	窗户	[窗|chuāng][户|hù]	2	cedict+hsk4
chuanzhen	传真	[传|chuán][真|zhēn]	2	cedict+hsk4
chuchai	出差	[出|chū][差|chāi]	2	cedict+hsk4
chufa	出发	[出|chū][发|fā]	2	cedict+hsk4
chufang	厨房	[厨|chú][房|fáng]	2	cedict+hsk3
chule	除了	[除|chú][了|le]	2	cedict+hsk3
chusheng	出生	[出|chū][生|shēng]	2	cedict+hsk4
chuxian	出现	[出|chū][现|xiàn]	2	cedict+hsk3
cidian	词典	[词|cí][典|diǎn]	2	cedict+hsk4
ciyu	词语	[词|cí][语|yǔ]	2	cedict+hsk3
conglai	从来	[从|cóng][来|lái]	2	cedict+hsk4
congming	聪明	[聪|cōng][明|míng]	2	cedict+hsk3
cuxin	粗心	[粗|cū][心|xīn]	2	cedict+hsk4
daan	答案	[答|dá][案|àn]	2	cedict+hsk4
daban	打扮	[打|dǎ][扮|bàn]	2	cedict+hsk4
dafu	大夫	[大|dà][夫|fū]	2	cedict+hsk4
dagai	大概	[大|dà][概|gài]	2	cedict+hsk4
daibiao	代表	[代|dài][表|biǎo]	2	cedict+hsk4
daifu	大夫	[大|dài][夫|fū]	2	cedict+hsk4
daiti	代替	[代|dài][替|tì]	2	cedict+hsk4
dangao	蛋糕	[蛋|dàn][糕|gāo]	2	cedict+hsk3
