# char\tcodepoint\ttier\thsk_level\tcanonical_reading
# tier: 1/2/3 from 通用规范汉字表 一/二/三级
# hsk_level: 0=non-HSK, 1-6 HSK 2.0 single-char level
# Source: 通用规范汉字表 2013 + mozillazg kMandarin_8105 + HSK 2.0
俏	4FCF	1	0	qiào
俐	4FD0	1	0	lì
俗	4FD7	1	0	sú
俘	4FD8	1	0	fú
保	4FDD	1	0	bǎo
信	4FE1	1	3	xìn
俩	4FE9	1	4	liǎ
俭	4FED	1	0	jiǎn
修	4FEE	1	4	xiū
俯	4FEF	1	0	fǔ
俱	4FF1	1	0	jù
俺	4FFA	1	0	ǎn
倍	500D	1	4	bèi
倒	5012	1	5	dào
倔	5014	1	0	jué
倘	5018	1	0	tǎng
候	5019	1	0	hòu
倚	501A	1	0	yǐ
借	501F	1	3	jiè
倡	5021	1	0	chàng
倦	5026	1	0	juàn
债	503A	1	0	zhài
值	503C	1	0	zhí
倾	503E	1	0	qīng
假	5047	1	4	jiǎ
偎	504E	1	0	wēi
偏	504F	1	0	piān
做	505A	1	1	zuò
停	505C	1	0	tíng
健	5065	1	0	jiàn
偶	5076	1	0	ǒu
偷	5077	1	0	tōu
偿	507F	1	0	cháng
傅	5085	1	0	fù
傍	508D	1	0	bàng
储	50A8	1	0	chǔ
催	50AC	1	5	cuī
傲	50B2	1	0	ào
傻	50BB	1	5	shǎ
像	50CF	1	3	xiàng
僚	50DA	1	0	liáo
僧	50E7	1	0	sēng
僵	50F5	1	0	jiāng
僻	50FB	1	0	pì
儒	5112	1	0	rú
儿	513F	1	0	ér
允	5141	1	0	yǔn
元	5143	1	2	yuán
兄	5144	1	0	xiōng
充	5145	1	0	chōng
兆	5146	1	0	zhào
先	5148	1	3	xiān
光	5149	1	4	guāng
克	514B	1	5	kè
免	514D	1	0	miǎn
兑	5151	1	0	duì
兔	5154	1	0	tù
党	515A	1	6	dǎng
兜	515C	1	6	dōu
兢	5162	1	0	jīng
入	5165	1	0	rù
全	5168	1	0	quán
八	516B	1	1	bā
公	516C	1	0	gōng
六	516D	1	1	liù
兰	5170	1	0	lán
共	5171	1	0	gòng
关	5173	1	3	guān
兴	5174	1	0	xīng
兵	5175	1	0	bīng
其	5176	1	0	qí
具	5177	1	0	jù
典	5178	1	0	diǎn
兹	5179	1	0	zī
养	517B	1	0	yǎng
兼	517C	1	0	jiān
兽	517D	1	0	shòu
冀	5180	1	0	jì
内	5185	1	4	nèi
冈	5188	1	0	gāng
冉	5189	1	0	rǎn
册	518C	1	5	cè
再	518D	1	2	zài
冒	5192	1	0	mào
冗	5197	1	0	rǒng
写	5199	1	1	xiě
军	519B	1	0	jūn
农	519C	1	0	nóng
冠	51A0	1	0	guān
冤	51A4	1	0	yuān
冥	51A5	1	0	míng
冬	51AC	1	3	dōng
冯	51AF	1	0	féng
冰	51B0	1	0	bīng
冲	51B2	1	5	chōng
决	51B3	1	0	jué
况	51B5	1	0	kuàng
冶	51B6	1	0	yě
冷	51B7	1	1	lěng
冻	51BB	1	5	dòng
净	51C0	1	0	jìng
凄	51C4	1	0	qī
准	51C6	1	0	zhǔn
凉	51C9	1	0	liáng
凌	51CC	1	0	líng
减	51CF	1	0	jiǎn
凑	51D1	1	0	còu
凛	51DB	1	0	lǐn
凝	51DD	1	0	níng
几	51E0	1	1	jǐ
凡	51E1	1	0	fán
凤	51E4	1	0	fèng
凭	51ED	1	5	píng
凯	51EF	1	0	kǎi
凰	51F0	1	0	huáng
凳	51F3	1	0	dèng
凶	51F6	1	0	xiōng
