a	あ
ichijiru	いちじる
ichijirushii	いちじるしい
ida	いだ
ido	いど
iga	いが
igeta	いげた
ihaya	いはや
ii	いい
iji	いじ
ijiku	いじく
ika	いか
ikaduchi	いかづち
ikan	いかん
ikanobori	いかのぼり
ikazuchi	いかずち
iki	いき
ikidoo	いきどお
iko	いこ
iku	いく
ikusa	いくさ
imashi	いまし
imo	いも
in	いん
ina	いな
ine	いね
inishie	いにしえ
ino	いの
inoru	いのる
inoshishi	いのしし
inui	いぬい
io	いお
iori	いおり
irada	いらだ
irie	いりえ
irodo	いろど
irodori	いろどり
irori	いろり
isa	いさ
isagiyo	いさぎよ
isao	いさお
isasaka	いささか
ishibumi	いしぶみ
ishizue	いしずえ
iso	いそ
ita	いた
itada	いただ
itadaki	いただき
itazura	いたずら
ito	いと
itoguchi	いとぐち
itokenai	いとけない
itsu	いつ
itsuku	いつく
itsukushi	いつくし
itsutsu	いつつ
itsuwa	いつわ
iwa	いわ
iwao	いわお
iwashi	いわし
iwau	いわう
iwaya	いわや
iwayuru	いわゆる
iya	いや
iyo	いよ
iyoiyo	いよいよ
izana	いざな
izukuni	いずくに
izukunzo	いずくんぞ
ja	じゃ
jaku	じゃく
jan	じゃん
ji	じ
jiku	じく
jin	じん
jirushi	じるし
jitsu	じつ
jo	じょ
joku	じょく
jou	じょう
ju	じゅ
juku	じゅく
jun	じゅん
jutsu	じゅつ
juu	じゅう
ka	か
kaba	かば
kaban	かばん
kabu	かぶ
kabura	かぶら
kabuto	かぶと
kachi	かち
kachidoki	かちどき
kado	かど
kae	かえ
kaede	かえで
kaeri	かえり
kaga	かが
kagami	かがみ
kagaribi	かがりび
kagaya	かがや
kage	かげ
kagi	かぎ
kago	かご
kai	かい
kaiko	かいこ
kairi	かいり
kaji	かじ
kaka	かか
kakageru	かかげる
kakari	かかり
kakawaru	かかわる
kake	かけ
kaki	かき
kakimono	かきもの
kako	かこ
kakotsu	かこつ
kakou	かこう
kaku	かく
kama	かま
kamabisu	かまびす
kami	かみ
kamikazari	かみかざり
kaminari	かみなり
kamo	かも
kamome	かもめ
kamoshika	かもしか
kan	かん
kana	かな
kanae	かなえ
kaname	かなめ
kanara	かなら
kanba	かんば
kane	かね
kanezashi	かねざし
kanga	かんが
kani	かに
kanmuri	かんむり
kannagi	かんなぎ
kanoe	かのえ
kanoto	かのと
kanzou	かんぞう
kao	かお
kaori	かおり
kaorigusa	かおりぐさ
kaoru	かおる
kara	から
karai	からい
karakuri	からくり
karanashi	からなし
karashi	からし
karasu	からす
kare	かれ
kari	かり
karigane	かりがね
karizumai	かりずまい
kasa	かさ
kase	かせ
kashi	かし
kashiko	かしこ
kashikoma	かしこま
kashira	かしら
kashiwa	かしわ
kasu	かす
kasumi	かすみ
kata	かた
katabu	かたぶ
katachi	かたち
katado	かたど
katadoru	かたどる
katai	かたい
kataki	かたき
kataku	かたく
katamari	かたまり
katami	かたみ
katamu	かたむ
katana	かたな
katawa	かたわ
katayo	かたよ
kate	かて
katsu	かつ
katsura	かつら
kawa	かわ
kawaki	かわき
kawara	かわら
kawasemi	かわせみ
kaya	かや
kayu	かゆ
kaza	かざ
kaze	かぜ
ke	け
kechi	けち
keda	けだ
kedamono	けだもの
kedume	けづめ
kei	けい
keki	けき
kemi	けみ
kemono	けもの
kemu	けむ
kemuri	けむり
ken	けん
keta	けた
ketsu	けつ
kewa	けわ
kezu	けず
ki	き
kibi	きび
kibishi	きびし
kichi	きち
kii	きい
kike	きけ
kiku	きく
kimi	きみ
kimo	きも
kin	きん
kine	きね
kinoko	きのこ
kinoto	きのと
kinu	きぬ
kinuta	きぬた
kira	きら
kirame	きらめ
kire	きれ
kiri	きり
kisaki	きさき
kishi	きし
kiso	きそ
kissaki	きっさき
kita	きた
kitsu	きつ
kiwa	きわ
kiyo	きよ
kiza	きざ
kizu	きず
kizuna	きずな
ko	こ
koba	こば
kobachi	こばち
kobo	こぼ
kobushi	こぶし
kochi	こち
kodomo	こども
koe	こえ
kogo	こご
koi	こい
koinega	こいねが
koke	こけ
kokera	こけら
kokoni	ここに
kokono	ここの
kokoro	こころ
kokoroyo	こころよ
kokoroza	こころざ
kokorozashi	こころざし
koku	こく
koma	こま
komaka	こまか
komakai	こまかい
komegura	こめぐら
komichi	こみち
kon	こん
kona	こな
kono	この
koo	こお
kora	こら
korashimeru	こらしめる
korasu	こらす
kore	これ
koriru	こりる
koro	ころ
koromo	ころも
koshi	こし
kosu	こす
kota	こた
koto	こと
kotoba	ことば
kotobu	ことぶ
kotobuki	ことぶき
kotogoto	ことごと
kotogotoku	ことごとく
kotoho	ことほ
kotowa	ことわ
kotowaza	ことわざ
kotsu	こつ
kou	こう
kougai	こうがい
koumu	こうむ
kowa	こわ
koyomi	こよみ
kozue	こずえ
ku	く
kubo	くぼ
kuchisaki	くちさき
kuchisoso	くちそそ
kuchisusu	くちすす
kuchiwaki	くちわき
kuda	くだ
kudo	くど
kudokudo	くどくど
kugurido	くぐりど
kui	くい
kuji	くじ
kujira	くじら
kuki	くき
kuku	くく
kuma	くま
kumi	くみ
kumo	くも
kun	くん
kuni	くに
kunitsukami	くにつかみ
kura	くら
kurai	くらい
kure	くれ
kurenai	くれない
kuri	くり
kuriya	くりや
kuro	くろ
kuroi	くろい
kuru	くる
kuruo	くるお
kuruwa	くるわ
kusa	くさ
kusabi	くさび
kusabuki	くさぶき
kusamura	くさむら
kuse	くせ
kushi	くし
kushikezu	くしけず
kushiro	くしろ
kusu	くす
kusunoki	くすのき
kusuri	くすり
kutsu	くつ
kutsugae	くつがえ
kutsurogu	くつろぐ
kuu	くう
kuwa	くわ
kuwada	くわだ
kuya	くや
kuzu	くず
kya	きゃ
kyaku	きゃく
kyan	きゃん
kyo	きょ
kyoku	きょく
kyou	きょう
kyuu	きゅう
ma	ま
maa	まあ
maba	まば
mabara	まばら
maboroshi	まぼろし
machi	まち
madara	まだら
made	まで
mado	まど
maga	まが
magi	まぎ
mai	まい
maina	まいな
mairu	まいる
maji	まじ
majiro	まじろ
majiwaru	まじわる
maka	まか
makana	まかな
maki	まき
makomo	まこも
makoto	まこと
makotoni	まことに
maku	まく
makura	まくら
mame	まめ
mami	まみ
mamo	まも
man	まん
manako	まなこ
mane	まね
manima	まにま
mare	まれ
mari	まり
maro	まろ
maroudo	まろうど
maru	まる
masa	まさ
masaki	まさき
masame	まさめ
masani	まさに
mashi	まし
mashimasu	まします
masu	ます
mata	また
mataga	またが
matata	またた
mato	まと
matsu	まつ
mawa	まわ
mayo	まよ
mayu	まゆ
mayumi	まゆみ
mayuzumi	まゆずみ
me	め
mebae	めばえ
megu	めぐ
mei	めい
meku	めく
mekura	めくら
men	めん
meshi	めし
mesu	めす
metsu	めつ
mezura	めずら
mi	み
michi	みち
michibi	みちび
mida	みだ
midari	みだり
midori	みどり
miga	みが
migaku	みがく
migiwa	みぎわ
migomo	みごも
mihari	みはり
miji	みじ
mikado	みかど
miki	みき
miko	みこ
mikotonori	みことのり
mina	みな
minato	みなと
mine	みね
minna	みんな
mino	みの
minori	みのり
mio	みお
misaki	みさき
misao	みさお
misasagi	みささぎ
misoka	みそか
mitamaya	みたまや
mito	みと
mitsu	みつ
mitsurou	みつろう
miuchi	みうち
miya	みや
miyako	みやこ
miyakogae	みやこがえ
mizo	みぞ
mizu	みず
mizuka	みずか
mizunoe	みずのえ
mo	も
mochi	もち
mochiaso	もちあそ
mochii	もちい
moda	もだ
modo	もど
moku	もく
momi	もみ
momiji	もみじ
momo	もも
mon	もん
monme	もんめ
mono	もの
moppa	もっぱ
moppara	もっぱら
mora	もら
mori	もり
moro	もろ
moshi	もし
mosuso	もすそ
moteaso	もてあそ
motena	もてな
moto	もと
motoo	もとお
motsu	もつ
motte	もって
motto	もっと
mou	もう
mouke	もうけ
moyoo	もよお
moyou	もよう
mu	む
muchi	むち
muchiutsu	むちうつ
mugo	むご
mui	むい
muka	むか
muko	むこ
muku	むく
mukuro	むくろ
muna	むな
munashii	むなしい
mune	むね
mura	むら
musabo	むさぼ
mushi	むし
mushiro	むしろ
musu	むす
musume	むすめ
muzukashii	むずかしい
myou	みょう
na	な
nabe	なべ
nada	なだ
nae	なえ
naga	なが
nage	なげ
nagekawashii	なげかわしい
nageku	なげく
nagi	なぎ
nagisa	なぎさ
nagusa	なぐさ
nai	ない
naigashiro	ないがしろ
naka	なか
nakoudo	なこうど
nama	なま
namaku	なまく
namari	なまり
namazu	なまず
name	なめ
nami	なみ
namida	なみだ
nan	なん
nana	なな
naname	ななめ
nani	なに
nanigashi	なにがし
nanji	なんじ
nannanto	なんなんと
nano	なの
nanzo	なんぞ
nao	なお
nara	なら
nari	なり
nashi	なし
natsu	なつ
nawa	なわ
nazo	なぞ
nazu	なず
ne	ね
neba	ねば
nei	ねい
neji	ねじ
neko	ねこ
nemu	ねむ
nen	ねん
nengo	ねんご
nera	ねら
neru	ねる
neta	ねた
ni	に
nibu	にぶ
nie	にえ
niga	にが
nigi	にぎ
nigo	にご
niji	にじ
nijuu	にじゅう
niku	にく
nikui	にくい
nikumu	にくむ
nikurashii	にくらしい
nikushimi	にくしみ
nin	にん
nina	にな
nio	にお
nise	にせ
nishi	にし
nishiki	にしき
niwa	にわ
niwaka	にわか
niwakani	にわかに
niwatori	にわとり
no	の
nobi	のび
nobo	のぼ
noga	のが
noki	のき
noko	のこ
nokogiri	のこぎり
nomi	のみ
nomu	のむ
non	のん
nonoshi	ののし
nori	のり
noru	のる
notama	のたま
notto	のっと
nou	のう
nozo	のぞ
nozoku	のぞく
nu	ぬ
nugu	ぬぐ
nuitori	ぬいとり
nukazuku	ぬかずく
nuki	ぬき
nura	ぬら
nure	ぬれ
nusa	ぬさ
nusu	ぬす
nyo	にょ
nyou	にょう
nyu	にゅ
nyuu	にゅう
o	お
obi	おび
obiya	おびや
obo	おぼ
ochii	おちい
oderu	おでる
odo	おど
odoro	おどろ
oga	おが
ogi	おぎ
ogina	おぎな
ogo	おご
ogoso	おごそ
oi	おい
oka	おか
oke	おけ
oki	おき
okitsu	おきつ
oko	おこ
oku	おく
okusuru	おくする
okute	おくて
omo	おも
omomu	おもむ
omomuki	おもむき
omone	おもね
omonpaka	おもんぱか
omonpaku	おもんぱく
omori	おもり
on	おん
oni	おに
ono	おの
onono	おのの
ononoku	おののく
onoono	おのおの
onore	おのれ
oo	おお
oodate	おおだて
ooduna	おおづな
oogari	おおがり
ookami	おおかみ
ooki	おおき
oomu	おおむ
oomune	おおむね
ootori	おおとり
ore	おれ
ori	おり
oro	おろ
oroga	おろが
oroka	おろか
oroshi	おろし
osa	おさ
osae	おさえ
osanai	おさない
oshi	おし
oshie	おしえ
oso	おそ
osoi	おそい
osore	おそれ
ossha	おっしゃ
osu	おす
oto	おと
otoko	おとこ
otokodate	おとこだて
otoro	おとろ
