# code	word	layer	freq	source
#
# Library file — single source of truth for the wubi dict.
# Editing rules (2026-06-03+ 治理 architecture):
#
#   - ADD/MODIFY (Class A 加词): hand-add row with source=polish.
#     `make polish-rebuild` propagates the change to wubi.dict / words.idf.
#
#   - DELETE wrong entry (Class D1): delete row + append to
#     `tools/scoring/data/corpus_garbage_filter_v1.tsv` so next
#     digest can't re-admit.
#
#   - HIDE valid entry from Path-1 (Class D2): tier_overlay.tsv tier 5+
#     (wubi side hasn't needed a separate exclusions file yet).
#
#   - INGEST upstream corpus: corpus-digest tool (TBD), writes
#     source=digested + appends digest_log event.
#
# Schema columns:
#   code   wubi code (1-4 letters)
#   word   output string
#   layer  wubi layer index (0..5: Jianma1/2/3, Zigen, Auto, Phrase)
#   freq   raw frequency (u32)
#   source "digested" | "polish"
#
aaln	𧂛	0	0	digested
aalq	𦿏	0	0	digested
aalt	工力	1	10219	digested
aama	工贼	1	8754	digested
aamf	蘳	0	0	digested
aamg	蘣	0	0	digested
aamh	𦭧	0	0	digested
aamj	𧅆	0	0	digested
aamj	𧏤	0	0	digested
aamm	黄花岗	1	10515	digested
aamn	𦶐	0	0	digested
aamq	戒网	1	0	digested
aams	𦵶	0	0	digested
aamu	䔈	0	0	digested
aamu	𧶤	0	0	digested
aamv	节节败退	1	16109	digested
aamv	蒆	0	7310	digested
aamy	茿	0	0	digested
aan	苣	3	8267	digested
aanb	𦭓	0	0	digested
aanf	苣	0	8267	digested
aanf	𦰗	0	0	digested
aanh	戒惧	1	15340	digested
aanh	𦷾	0	0	digested
aanr	草草收兵	1	0	digested
aans	葉	0	29459	digested
aans	𧄠	0	0	digested
aant	𦯋	0	0	digested
aany	戒心	1	19381	digested
aaog	工业	1	34962	digested
aaoh	𧂌	0	0	digested
aaol	戒烟	1	20537	digested
aaou	工料	1	7753	digested
aaoy	葡萄糖	1	20650	digested
aape	工农	1	27623	digested
aapj	敬若神明	1	0	digested
aapn	菠萝蜜	1	16570	digested
aapp	切切实实	1	17181	digested
aaps	𦴇	0	0	digested
aapw	落落寡合	1	0	digested
aaqb	苉	0	0	digested
aaqd	茫茫然	1	0	digested
aaqg	工钱	1	18451	digested
aaqg	𪉅	0	0	digested
aaqh	蔕	0	0	digested
aaqh	𠥖	0	0	digested
aaqk	匿名	1	26422	digested
aaqn	𧀱	0	0	digested
aaqp	𨘬	0	0	digested
aaqy	工贸	1	10219	digested
aaqy	葫芦岛	1	13276	digested
aar	戔	3	0	digested
aar	𦬗	0	0	digested
aarb	匿报	1	0	digested
aarg	工兵	1	22106	digested
aarh	戒掉	1	16632	digested
aarh	𣂧	0	0	digested
aarl	芭蕾舞	1	23721	digested
aarm	AA制	1	12130	digested
aarr	熙熙攘攘	1	17766	digested
aaru	芽接	1	0	digested
aarx	戒指	1	28233	digested
aasa	工模	1	10790	digested
aase	工棚	1	13708	digested
aasg	工本	1	16286	digested
aass	花草树木	1	14597	digested
aasu	式样	1	19585	digested
aasu	𦮇	0	0	digested
aat	荛	3	7310	digested
aata	工长	1	12316	digested
aatf	工行	1	21684	digested
aath	警匪片	1	13132	digested
aati	蓬荜生辉	1	8928	digested
aatk	工程	1	38005	digested
aatl	戒备	1	19969	digested
aatm	式微	1	20918	digested
