# code	trad	simp_peer	layer	freq
ikhm	潰	溃	0	24117
ikmy	溳	涢	0	0
ilpy	漣	涟	0	13677
ilrh	漸	渐	0	30188
imjh	測	测	0	34400
imjr	瀃	𣽷	0	0
imy	浿	𬇙	3	7661
ipkm	賞	赏	0	27653
iplh	渾	浑	0	20999
iqdm	頫	𫖯	0	15007
iqmd	渙	涣	0	14645
iqpl	輝	辉	0	27965
iugg	潤	润	0	26090
iugi	瀾	澜	0	18316
iujg	澗	涧	0	16648
ivyh	澀	涩	0	18638
iwgt	瀲	潋	0	6918
ixwy	濰	潍	0	12879
iytf	滸	浒	0	15955
iyxj	𣿉	𣶫	0	0
jghh	韙	韪	0	6474
jghm	題	题	0	33958
jkhp	𧔥	𧒭	0	0
jmhm	顒	颙	0	15321
jngg	𣈶	暅	0	0
jplh	暉	晖	0	20498
jplj	暈	晕	0	21579
jsdm	顆	颗	0	26892
juqm	蠀	𧏗	0	0
jyim	顥	颢	0	15185
kamy	嗊	唝	0	0
kdmy	順	顺	0	29681
kfam	噴	喷	0	26242
kgmy	嘖	啧	0	9967
khag	噓	嘘	0	15728
khay	躪	躏	0	13451
khgm	貴	贵	0	29195
khgp	遺	遗	0	29658
khrm	躓	踬	0	0
khtm	躦	躜	0	0
khub	躑	踯	0	8267
khui	躝	𨅬	0	0
khuj	𨅍	𨁴	0	0
kimy	嗩	唢	0	12513
kkdk	囂	嚣	0	20288
kkfm	顎	颚	0	18063
kmbh	鄖	郧	0	9967
kmln	勛	勋	0	18438
kmmv	嚶	嘤	0	0
kmu	員	员	3	38464
kmy	唄	呗	3	13919
kqmd	喚	唤	0	22198
kunt	㘚	㘎	0	0
kxqy	喲	哟	0	11180
laag	軾	轼	0	16625
labc	𨎮	𨐉	0	0
lafc	羈	羁	0	19683
lbnn	輒	辄	0	19139
lcbs	輮	𫐓	0	0
lccc	輟	辍	0	16692
ldbn	軛	轭	0	14741
ldg	軲	轱	3	0
ldwd	輳	辏	0	10284
ldy	軑	轪	3	0
leg	𨊸	䢁	0	0
lfh	軒	轩	3	23816
lfke	轅	辕	0	18449
lfoe	黲	黪	0	0
lgah	𨊻	𨐆	0	0
lgcf	輊	轾	0	0
lgey	輔	辅	0	27263
lgkl	輻	辐	0	23605
lgqn	軏	𫐄	0	0
liqn	輄	𨐈	0	0
ljlg	輼	辒	0	0
ljxx	輥	辊	0	0
lkbg	輯	辑	0	29161
lkmi	圓	圆	0	28340
lkmu	賀	贺	0	26627
lkwy	軹	轵	0	8267
lmcy	軗	𨐅	0	0
lmg	軸	轴	3	25355
lmun	輞	辋	0	0
lnae	輾	辗	0	19139
lnn	軋	轧	3	14780
loqh	轔	辚	0	0
lpdk	轄	辖	0	27494
lpdn	𨏥	𨐊	0	0
lpk	連	连	3	33924
lqan	軝	𬨂	0	0
lqwy	軟	软	0	29197
lrff	塹	堑	0	16393
lrh	斬	斩	3	24375
lrjf	暫	暂	0	30960
lrqf	鏨	錾	0	0
lrsu	槧	椠	0	0
lrwy	軼	轶	0	14274
lskg	軻	轲	0	14452
ltey	輈	辀	0	0
ltkg	輅	辂	0	9616
ltnn	𨊰	䢀	0	0
ltuh	軤	轷	0	0
luep	䡵	𫟦	0	0
lug	𨋢	䢂	0	0
luqy	較	较	0	34428
lusg	輶	𬨎	0	6918
lvkg	軺	轺	0	0
lvlg	輜	辎	0	13939
lvn	軌	轨	3	28203
lvqn	輗	𫐐	0	0
lvyy	軔	轫	0	12738
lwet	軫	轸	0	13015
lwgg	輇	辁	0	0
lwgj	輸	输	0	30370
lyct	轍	辙	0	18638
lyiy	輬	辌	0	0
lyjj	罰	罚	0	28603
lynx	轆	辘	0	12435
madt	賊	贼	0	25292
mawq	覥	觍	0	0
mckg	貽	贻	0	17491
mdeg	賄	贿	0	21348
mdfe	賑	赈	0	16692
mdlj	輋	𪨶	0	17989
mdmm	顓	颛	0	11922
mdmy	頔	𬱖	0	7310
mdwj	賰	䞐	0	0
mef	冑	胄	3	14038
mfhm	巔	巅	0	17478
mfiy	賕	赇	0	6474
mftj	賭	赌	0	26787
mftt	財	财	0	30846
mgah	賦	赋	0	25261
mgef	賻	赙	0	0
mgeg	䝼	䞍	0	0
mhce	幓	㡎	0	0
mhgm	幘	帻	0	7310
mhhm	幀	帧	0	16417
mhkg	貼	贴	0	29211
mhny	貝	贝	0	29108
mjh	則	则	3	36175
mjhg	賵	赗	0	0
mjjg	𧶧	䞎	0	0
mjqr	賜	赐	0	24763
mkgg	𧶔	𧹓	0	0
mkkn	贃	𧹗	0	0
mkqn	貺	贶	0	5961
mlrj	嶄	崭	0	18699
mmaw	賟	𧹖	0	0
mmfk	賙	赒	0	0
mmmu	贔	赑	0	9010
mmrm	罌	罂	0	11157
mmvf	嬰	婴	0	25434
mndg	䝻	𧹕	0	0
mooy	賧	赕	0	0
mqdy	贍	赡	0	14780
mqqw	嶔	嵚	0	7978
mrcy	販	贩	0	25751
mtdh	峯	峰	0	20519
mtkg	賂	赂	0	17929
mtpy	貶	贬	0	22223
mty	敗	败	3	30693
mukg	賠	赔	0	24842
mulj	贈	赠	0	26921
muvo	賺	赚	0	24495
mwfi	賒	赊	0	10736
mynw	賅	赅	0	9224
nfam	憤	愤	0	25050
ngkm	懶	懒	0	20800
nkhm	憒	愦	0	0
nlrh	慚	惭	0	15900
nmi	屓	屃	3	0
nmjh	惻	恻	0	13209
nplh	惲	恽	0	11530
nplj	翬	翚	0	6474
