# code	trad	simp_peer	layer	freq
xgki	綀	𦈌	0	0
xgkl	䋹	䌿	0	0
xglg	繮	缰	0	0
xgmy	績	绩	0	28444
xgoj	縉	缙	0	13989
xhit	緲	缈	0	12738
xhjh	綽	绰	0	21359
xidm	潁	颍	0	14319
xieg	綃	绡	0	7978
ximk	緔	绱	0	0
xitt	紗	纱	0	21502
xjbc	繓	𦈛	0	0
xjgh	緹	缇	0	13332
xjhh	紳	绅	0	19665
xjlc	縵	缦	0	9224
xjlg	緼	缊	0	0
xjmu	費	费	0	33546
xjng	䌈	𦈖	0	0
xjxx	緄	绲	0	5961
xkbg	緝	缉	0	23459
xkeg	絹	绢	0	17125
xkh	紃	𬘓	3	0
xkhm	繢	缋	0	0
xkhp	繾	缱	0	0
xkks	繰	缲	0	0
xldy	絪	𬘡	0	7661
xlff	纆	𬙊	0	0
xlg	細	细	3	31106
xlge	䋿	𦈓	0	0
xlge	繯	缳	0	7661
xlny	緦	缌	0	0
xlpy	縺	𦈐	0	0
xlxi	縲	缧	0	6474
xlxk	轡	辔	0	10709
xmeg	縎	𦈔	0	0
xmfk	綢	绸	0	18356
xmg	紬	䌷	3	9010
xmkg	絅	䌹	0	0
xmmv	纓	缨	0	15115
xmwy	納	纳	0	32550
xnaj	緡	缗	0	9616
xnfg	紐	纽	0	32035
xng	䋚	䌻	0	0
xnhh	糾	纠	0	23406
xnku	䌟	𦈞	0	0
xnn	紀	纪	3	32956
xnnw	繏	𦈝	0	0
xnwe	繆	缪	0	19727
xodm	熲	颎	0	6918
xpfi	綜	综	0	27601
xpfq	綄	𬘫	0	0
xpgh	綻	绽	0	16090
xpgw	縯	𬙂	0	9224
xplh	緷	𦈉	0	0
xpnn	綰	绾	0	10965
xpqn	紞	𬘘	0	10573
xpwj	縮	缩	0	28452
xqaj	緍	𦈏	0	7310
xqan	紙	纸	0	28587
xqcn	絶	绝	0	18909
xqdh	絺	𫄨	0	6474
xqjg	絢	绚	0	13451
xqrm	綯	绹	0	9224
xqyy	約	约	0	36598
xrmh	綿	绵	0	21666
xryt	繳	缴	0	24682
xryy	𥿊	𦈈	0	0
xsfg	緸	𦈑	0	0
xsfi	縹	缥	0	8780
xsgg	綇	𦈋	0	0
xshg	緗	缃	0	0
xssi	䌝	𦈟	0	0
xssy	綝	𬘭	0	13509
xtah	絳	绛	0	17067
xtdm	穎	颖	0	23811
xtdp	縫	缝	0	22268
xten	綉	绣	0	7661
xtfg	紝	纴	0	0
xtfh	絎	绗	0	0
xtfm	纘	缵	0	11828
xtfp	綎	𬘩	0	10840
xtgf	綞	缍	0	0
xtgo	纁	𫄸	0	6474
xthk	綹	绺	0	7978
xthp	綖	𫄧	0	9796
xtkg	絡	络	0	29150
xtnn	紇	纥	0	14274
xtuy	終	终	0	32785
xudb	綣	绻	0	0
xudk	繕	缮	0	18192
xuep	繸	䍁	0	0
xufh	絆	绊	0	16822
xujn	繶	𫄷	0	0
xukq	綐	䌼	0	0
xulj	繒	缯	0	12013
xuph	締	缔	0	22825
xuqy	絞	绞	0	18551
xuvo	縑	缣	0	8780
xuwl	縊	缢	0	14274
xuxt	綈	绨	0	0
xviy	緑	绿	0	6474
xvjs	繅	缫	0	0
xvkg	紹	绍	0	27975
xvlg	緇	缁	0	7978
xvyy	紈	纨	0	10432
xvyy	紉	纫	0	9010
xwdc	緞	缎	0	13081
xwgj	緰	𦈕	0	0
xwgk	給	给	0	33658
xwgq	緶	缏	0	0
xwnd	緱	缑	0	9796
xwnp	縋	缒	0	0
xwvn	紛	纷	0	28456
xwwk	綌	绤	0	0
xwyg	維	维	0	33651
xwys	䌖	𦈜	0	0
xxey	緣	缘	0	27457
xxhh	紖	纼	0	0
xxjh	紼	绋	0	0
xxxn	紕	纰	0	0
xybc	縭	缡	0	0
xybg	綧	𬘯	0	0
xycq	統	统	0	35617
xyiy	綡	𫟅	0	0
xyjf	纏	缠	0	22362
xyke	縗	缞	0	0
xyke	纕	𬙋	0	0
xymk	縞	缟	0	9140
xyn	紡	纺	3	20748
xyna	編	编	0	31126
xyxy	絃	弦	0	16199
xyy	紋	纹	3	24432
yaag	試	试	0	33237
yaah	誡	诫	0	19983
yadk	諾	诺	0	30788
yadn	諶	谌	0	6918
yafs	謀	谋	0	28430
yag	訌	讧	3	15044
yagg	誆	诓	0	0
yaht	訝	讶	0	20930
yajd	謨	谟	0	24778
yakg	謹	谨	0	25041
yang	詎	讵	0	0
yans	諜	谍	0	20015
yaqj	譖	谮	0	11633
yauo	讌	䜩	0	9010
yaww	誣	诬	0	19508
yayq	謊	谎	0	21822
ybcy	諏	诹	0	12879
ybmh	詘	诎	0	9616
ycbk	譎	谲	0	14087
yceh	誦	诵	0	21135
yckg	詒	诒	0	12273
yctd	誒	诶	0	0
ydg	詁	诂	3	10573
ydgt	諴	𫍯	0	7310
ydiy	誄	诔	0	9426
ydjd	誹	诽	0	17047
ydnt	誠	诚	0	27526
ydoy	詼	诙	0	12665
yefc	諼	谖	0	0
yegg	詛	诅	0	17914
yerm	謡	谣	0	7978
yeyy	諑	诼	0	0
yffg	詿	诖	0	0
yffy	詩	诗	0	29659
yfh	計	计	3	36380
yfh	訐	讦	3	12355
yfkg	詰	诘	0	15321
yftj	諸	诸	0	29643
yfy	討	讨	3	30423
ygam	贇	赟	0	14135
ygeg	請	请	0	33364
ygfh	訏	𬣙	0	0
yghg	証	证	0	20391
ygjn	譓	𬤝	0	0
ygkg	語	语	0	33967
ygli	諫	谏	0	20870
yguh	評	评	0	32494
yhag	謔	谑	0	15115
yhcy	詖	诐	0	0
yhkg	詀	𧮪	0	0
yhy	訃	讣	3	13622
yieg	誚	诮	0	6474
yjgh	諟	𬤊	0	0
yjgp	𧩙	䜥	0	0
yjjh	劑	剂	0	27791
yjlc	謾	谩	0	14228
yjqn	謁	谒	0	17221
yjsy	課	课	0	31180
ykgd	誤	误	0	29871
ykh	訓	训	3	29207
ykhp	譴	谴	0	24277
ykkn	諤	谔	0	15044
yleg	謂	谓	0	29152
ylge	譞	𫍽	0	9426
ylk	庫	库	3	29503
ylkm	顫	颤	0	17758
ylwt	謖	谡	0	7978
ymcy	設	设	0	35544
ymdm	頏	颃	0	7661
ymfk	調	调	0	34979
ymgk	詷	𫍣	0	0
ymh	訕	讪	3	12355
ymkg	詗	诇	0	0
ymwy	訥	讷	0	17067
ynfh	訊	讯	0	31379
yng	詡	诩	3	13784
yngk	詞	词	0	30790
ynhe	諝	谞	0	0
ynky	贏	赢	0	27586
ynn	記	记	3	33863
yntl	謐	谧	0	15321
yntm	頦	颏	0	0
ynwe	謬	谬	0	19610
ynwy	訣	诀	0	18500
yooy	談	谈	0	30008
yopy	謎	谜	0	20807
ypeg	誼	谊	0	22925
yplh	諢	诨	0	7310
ypta	詫	诧	0	14135
yqay	詆	诋	0	15815
yqbh	訩	讻	0	0
yqdb	詭	诡	0	19197
yqdy	譫	谵	0	10432
yqjg	詢	询	0	28121
yqqw	廞	𫷷	0	0
yqtg	誑	诳	0	9010
yqvg	諂	谄	0	12948
yqvh	諍	诤	0	13888
yrgk	詬	诟	0	16801
yrh	訢	䜣	3	10840
yriy	誅	诛	0	21538
yryy	訴	诉	0	31100
ysfg	諲	𬤇	0	6918
ysh	訂	订	3	29878
ysjh	譚	谭	0	26410
yskg	訶	诃	0	18396
ytdg	話	话	0	33364
yten	誘	诱	0	24568
ytfh	許	许	0	34421
ytfk	誥	诰	0	15815
ytfq	詵	诜	0	8780
ythf	詐	诈	0	25207
ythp	誕	诞	0	26917
ytmf	謝	谢	0	30067
ytnn	訖	讫	0	14780
ytvg	諉	诿	0	13784
ytxu	誨	诲	0	15546
yudh	詳	详	0	27208
yuev	謭	谫	0	0
yugi	斕	斓	0	11828
yugi	讕	谰	0	0
yujg	諳	谙	0	16670
yukq	説	说	0	24512
yumd	謫	谪	0	15044
yuoj	譜	谱	0	25635
yuph	諦	谛	0	18711
yupy	謗	谤	0	18563
yute	諺	谚	0	17027
yuvo	謙	谦	0	24056
yuwl	謚	谥	0	14701
yvey	詪	𬣳	0	0
yvhc	謏	𫍲	0	6474
yvkg	詔	诏	0	23743
yvwm	賡	赓	0	13622
yvwy	諛	谀	0	12809
yvyh	䜀	䜧	0	0
yvyy	訒	讱	0	0
ywcy	訟	讼	0	26105
ywet	診	诊	0	33248
ywgg	詮	诠	0	21029
ywgj	諭	谕	0	20774
ywwg	讖	谶	0	14364
ywxn	訛	讹	0	19780
ywyg	誰	谁	0	25998
ywyn	諗	谂	0	21310
ywyo	譙	谯	0	14408
yxdm	廎	庼	0	0
yxjg	詣	诣	0	18732
yxxr	諧	谐	0	22360
yybg	諄	谆	0	9426
yyiy	諒	谅	0	21238
yyn	訪	访	3	30850
yyna	諞	谝	0	0
yynw	該	该	0	36382
yywf	誶	谇	0	6474
