# code	trad	simp_form	layer	freq
jkgv	螻	蝼	0	7978
jkkf	蟬	蝉	0	18538
jlag	蟈	蝈	0	0
jleg	蝟	猬	0	9010
jmgg	𣋋	𣈣	0	0
jmgv	蠅	蝇	0	13939
jmho	𪃍	𪉐	0	0
jmnk	蝸	蜗	0	16557
jnhc	蝦	虾	0	22095
jnhh	暐	𬀩	0	12013
jnhh	虯	虬	0	10432
jnij	蠾	𧑏	0	0
joos	蠑	蝾	0	7978
jpgm	蠙	𧏖	0	7310
jpns	䗿	𧉞	0	0
jqwo	鶡	鹖	0	6474
jsq	夥	伙	3	24681
jsqq	夥	伙	0	24681
jtaj	昇	升	0	24096
jtdk	蟜	𫊸	0	13209
jued	曨	昽	0	0
jugt	蟻	蚁	0	21699
jvaf	蟳	𫊻	0	7310
jvln	蠟	蜡	0	20012
jwam	蟘	𫋌	0	0
jwgj	𧒯	𫊹	0	0
jwkq	蛻	蜕	0	17125
jwnh	螄	蛳	0	0
jwvs	蟂	𫋇	0	0
jwyc	𧕟	𧉐	0	0
jxg	蠅	蝇	3	13939
jxjm	曊	𪰶	0	0
jxtb	曏	向	0	0
jxxm	顯	显	0	33195
jxxo	鵾	鹍	0	0
jxxt	蟣	虮	0	0
jyaw	曠	旷	0	19975
jyjg	蠐	蛴	0	0
jype	蠔	蚝	0	16983
kafc	囈	呓	0	7661
kagf	嘩	哗	0	18735
kakk	嘔	呕	0	19942
kakw	嘆	叹	0	22164
kaqt	囌	苏	0	0
kaui	囒	𪢠	0	8533
kauo	嚥	咽	0	13731
kbbb	囁	嗫	0	0
kcy	嗎	吗	3	24082
kdhd	喫	吃	0	15294
kdth	嚦	呖	0	6474
kept	噯	嗳	0	0
keto	噅	𠯠	0	0
kewo	鵑	鹃	0	14135
kffq	嘵	哓	0	6474
kfnb	𡄔	𠴢	0	0
kfoo	嚇	吓	0	25238
kfup	噠	哒	0	11086
kfuy	𠽃	𪠺	0	0
kgbm	噸	吨	0	24390
kgfg	啞	哑	0	18954
kgfn	噁	恶	0	17464
kgkm	𡃤	𪢐	0	0
kgkp	遱	𫐷	0	0
kgkt	數	数	0	37554
kgkv	婁	娄	0	16393
kgmy	啢	唡	0	0
kgnm	號	号	0	34551
kgno	鴞	鸮	0	12355
kgqm	嚽	𪢕	0	0
khaa	踐	践	0	22942
khal	嚧	𠰷	0	0
khay	蹣	蹒	0	7978
khbb	躡	蹑	0	10432
khbh	嚙	啮	0	12355
khcl	踴	踊	0	19085
khdc	𨇞	𨅫	0	0
khde	䠆	𫏃	0	0
khdt	噦	哕	0	0
khdt	𨄣	𨀱	0	0
khff	躊	踌	0	11633
khfp	躂	跶	0	0
khfq	蹺	跷	0	14645
khgm	蹟	迹	0	23380
khgq	躎	䟢	0	0
khjf	蹕	跸	0	11086
khly	𨇽	𫏑	0	0
khnj	䠱	𨅛	0	0
khny	躍	跃	0	26006
khpn	躥	蹿	0	0
khqd	𨇤	𫏨	0	0
khqn	哯	𠯟	0	0
khsp	躚	跹	0	0
khsw	𨂐	𫏌	0	0
khth	蹤	踪	0	27571
khtk	蹻	𫏋	0	9796
khto	鷺	鹭	0	17868
khud	躘	𨀁	0	0
khwc	蹳	𫏆	0	0
khwj	踰	逾	0	12738
khwk	蹌	跄	0	0
khxn	𨈌	𨄄	0	0
khxr	𨇰	𫏞	0	0
khxs	躒	跞	0	0
khxx	𨈊	𨂺	0	0
khyf	躋	跻	0	16947
khyf	躕	蹰	0	0
khyo	跡	迹	0	27041
khyo	蹠	跖	0	11203
khyw	𨇁	𧿈	0	0
kipj	嚐	尝	0	17371
kipl	噹	当	0	11922
kjaf	嗶	哔	0	10284
kjwy	雖	虽	0	32696
kkcu	駡	骂	0	14579
kkdt	嚴	严	0	33078
kkfo	鶚	鹗	0	13784
kkgv	嘍	喽	0	9010
kkhm	嘳	𪡞	0	0
kkja	戰	战	0	35622
kkjb	鄲	郸	0	14319
kkje	囅	冁	0	0
kkjf	單	单	0	34629
kkjo	鷤	𫛴	0	0
kkkf	嘽	啴	0	0
kkld	獸	兽	0	24759
kklv	鼉	鼍	0	5961
klag	嘓	啯	0	6474
klft	𡂡	𪢒	0	0
klgf	囀	啭	0	9426
klh	唓	𪠳	3	0
klmy	嘪	𪡃	0	0
klpy	嗹	𪡏	0	0
klxy	囉	啰	0	19925
kmae	噥	哝	0	0
kmdm	䫟	𫖲	0	0
kmnk	喎	㖞	0	17404
kmty	吶	呐	0	15614
kmwo	鶰	𫛫	0	0
kndu	吳	吴	0	29495
knij	囑	嘱	0	20642
kool	嘮	唠	0	8267
kpfm	㘔	𫬐	0	0
kpns	嚀	咛	0	8780
kpwx	𡃕	𠴛	0	0
kpyu	𡅏	𠲥	0	0
kqjh	別	别	0	34672
kqoj	嚕	噜	0	14971
krlo	嘸	呒	0	13015
kswm	𡃄	𪡺	0	0
kswt	嘜	唛	0	14087
ktan	吒	咤	0	18789
ktdk	嘺	𪡀	0	0
kten	𡅯	𪢖	0	0
ktkf	呂	吕	0	26335
ktvb	㘉	𠰱	0	0
kued	嚨	咙	0	19782
kugi	㘓	𪢌	0	0
kusk	㗿	𪡛	0	0
kvaf	噚	㖊	0	12559
kvfg	㗲	𠵾	0	0
kvfj	嘯	啸	0	20369
kwga	㖮	𪠵	0	0
kwgj	噲	哙	0	9967
kwgw	噞	𪡋	0	0
kwld	嗰	𠮶	0	21117
kwno	嗚	呜	0	15115
kwvo	鳴	鸣	0	24439
kwyk	嗆	呛	0	17243
kwyn	唸	念	0	20104
kxgq	𡄣	𠵸	0	0
kxrs	嚛	𪠸	0	0
kxxi	噝	咝	0	0
kxxt	嘰	叽	0	0
kyjg	嚌	哜	0	0
kywy	囃	𠱞	0	10129
lakg	國	国	0	40921
lawu	異	异	0	30683
lbmi	繫	系	0	26872
lbmr	擊	击	0	33981
lcem	𤳷	𪽝	0	0
lceo	羆	罴	0	10573
lcex	罷	罢	0	26176
lcu	罵	骂	3	24550
ldcy	軷	𫐈	0	0
ldgn	轗	𫐘	0	0
ldhv	轊	𫐕	0	0
ldsk	輢	𫐎	0	0
ldth	轣	𫐆	0	0
lfcl	𨍰	𫐔	0	0
lfhw	䡩	𫟥	0	0
lfke	園	园	0	32915
lfnf	疇	畴	0	22289
lfoj	䵳	𪑅	0	0
lfok	點	点	0	35767
lfom	黷	黩	0	11203
lfox	䵴	𫜙	0	0
lfua	𢍰	𪪴	0	0
lghh	車	车	0	36387
lgjf	團	团	0	33925
lgjf	轉	转	0	33866
lgko	䴉	鹮	0	0
lgkp	還	还	0	35258
lgmy	輛	辆	0	29834
lgva	輕	轻	0	31385
lgvh	𨆪	𫏕	0	0
lhal	轤	轳	0	7661
ljgr	畼	𪽈	0	0
lkcu	駕	驾	0	28600
lkfk	圖	图	0	33190
lkpd	迴	回	0	25567
lkwo	鴐	𫛤	0	0
llle	脅	胁	0	27566
lllf	壘	垒	0	24824
lllg	疊	叠	0	24063
llli	纍	累	0	14780
lllj	轟	轰	0	25002
llll	轠	𫐙	0	0
llwl	轀	辒	0	6474
lmfk	輖	𫐏	0	0
lmh	軕	𫐅	3	0
lmu	買	买	3	31157
lmwy	軜	𫐇	0	0
lnhh	圍	围	0	31778
lnwe	轇	𫐖	0	0
logy	轐	𫐗	0	0
lpnn	輨	𫐑	0	0
lpxn	䡐	𫟤	0	0
lqkq	輓	挽	0	14319
lqyg	輷	𫐒	0	0
lrkh	蹔	𫏐	0	5961
lrrj	㨻	𪮃	0	0
ltdk	轎	轿	0	19736
ltmt	𨌈	𫐍	0	0
luah	軿	𫐌	0	0
lued	𨏠	𨐇	0	0
lvf	婁	娄	3	16393
lwga	圇	囵	0	0
lwga	輪	轮	0	30481
lwvo	鴨	鸭	0	22565
lwwu	眾	众	0	34816
lwyc	軨	𫐉	0	9426
lxrs	轢	轹	0	0
lxwp	邏	逻	0	25799
lxwy	羅	罗	0	33963
lxys	圞	𪢮	0	0
lyby	䍦	䍠	0	0
lyjf	䍤	𫅅	0	0
maat	賤	贱	0	20061
made	農	农	0	30383
madt	贜	赃	0	0
magf	㠏	㟆	0	0
majh	刪	删	0	24282
mak	冊	册	3	27603
makk	嶇	岖	0	17202
maqh	嵽	𫶇	0	0
mcce	嵾	㟥	0	0
mdey	賬	账	0	23144
mdft	𡻕	岁	0	0
mdgt	嵗	岁	0	14408
mdhb	𡿖	𪩛	0	0
mdho	鳳	凤	0	26464
mdnt	贓	赃	0	16697
mdth	㠣	𫵷	0	0
mdwo	鴦	鸯	0	14620
mdww	峽	峡	0	24101
meaa	髒	脏	0	19172
mekv	髏	髅	0	13784
memu	體	体	0	36753
mepm	髕	髌	0	6474
mepy	髖	髋	0	15220
meto	䞈	𧹑	0	0
mevh	崢	峥	0	12513
mewj	䯤	𩩈	0	0
mewo	鶻	鹘	0	13146
meym	骯	肮	0	14562
mffq	嶢	峣	0	0
mfjf	購	购	0	31809
mfke	彫	雕	0	11732
mfkg	𧵳	䞌	0	0
mfko	鵰	雕	0	15452
mfkp	週	周	0	30796
mflm	贖	赎	0	21419
mfnf	嶹	𫝵	0	5961
mftx	䶲	𫜳	0	0
mggb	鄳	𫑡	0	0
mggv	黽	黾	0	8533
mgji	崬	岽	0	0
mgkd	獃	呆	0	0
mgkj	剴	剀	0	0
mgkm	凱	凯	0	28442
mgkm	顗	𫖮	0	15698
mgkn	𦒀	𫅥	0	0
mgkq	覬	觊	0	14579
mgku	豈	岂	0	22325
mhad	巘	𪩘	0	10709
mhde	帳	帐	0	26508
mhff	幬	帱	0	0
mhfm	幩	𪩸	0	0
mhkf	幝	𪩷	0	0
mhlg	幗	帼	0	9224
mhnh	幃	帏	0	9010
mhqn	峴	岘	0	16464
mhuj	幟	帜	0	21364
mjxx	崑	昆	0	19489
mkgv	嶁	嵝	0	0
mkkt	巖	岩	0	18220
mkkt	巗	𪨷	0	0
mlcx	𤳸	𤳄	0	0
mlff	嶧	峄	0	8267
mlnn	𡸗	𪨩	0	0
mlvf	㟺	𪩇	0	0
mmkg	𡹬	𪨹	0	0
mmmd	𧹈	𪥠	0	0
mmmv	巊	𪩎	0	0
mmtj	嵐	岚	0	18817
mmum	崗	岗	0	25678
mmvo	鸚	鹦	0	16714
mnhf	嶈	𡺃	0	0
mnmj	剮	剐	0	6278
mnmk	咼	呙	0	0
mnmp	過	过	0	38415
mool	嶗	崂	0	7661
moos	嶸	嵘	0	12809
mpsh	貯	贮	0	19383
mpws	賝	𫎩	0	0
mqkg	䝭	𫎧	0	0
mqtd	嶽	岳	0	18687
msaa	嶘	𡺄	0	0
msjh	贉	𫎫	0	0
msww	崍	崃	0	0
mtdk	嶠	峤	0	17027
mtjb	𩗓	𫗈	0	0
mtjc	颰	𩙥	0	0
mtjc	颼	飕	0	0
mtjd	颳	刮	0	9796
mtjf	䬞	𩙧	0	0
mtjh	𩗴	𫗉	0	0
mtji	風	风	0	34138
mtji	𩘝	𩙭	0	0
mtjj	䫻	𫗇	0	0
mtjj	䬓	𫗊	0	0
mtjj	颾	𩙫	0	0
mtjj	𩘀	𩙩	0	0
mtjj	𩘹	𩙨	0	0
mtjk	䬘	𩙮	0	0
mtjk	颭	飐	0	0
mtjk	颱	台	0	22223
mtjl	飀	飗	0	0
mtjm	𩘺	𩙬	0	0
mtjn	颮	飑	0	0
mtjn	颸	飔	0	0
mtjo	颷	𩙪	0	0
mtjo	飈	飚	0	13784
mtjr	颺	飏	0	9426
mtjr	𩗀	𩙦	0	0
mtjs	𩙈	𩙰	0	0
mtjt	䫾	𫠈	0	0
mtjt	飋	𫗋	0	0
mtjw	䬝	𩙯	0	0
mtjw	颶	飓	0	18987
mtjy	𩖰	𫠇	0	0
mtyi	內	内	0	37721
mued	贚	𫎦	0	0
mumj	剛	刚	0	29157
mumk	岡	冈	0	25746
musq	䞋	𫎪	0	0
mutg	嵼	𡶴	0	0
mvgw	嶼	屿	0	24868
mvhl	贐	赆	0	0
mwga	崙	仑	0	26782
mwgw	嶮	崄	0	6474
mwgw	𡽗	𡸃	0	0
mwgw	𧸘	𫎨	0	0
mwnh	巋	岿	0	6918
mwwt	𦡝	𫆫	0	0
mwym	嶺	岭	0	25654
mxgq	𡾱	㟜	0	0
mywo	鴅	𫛝	0	7159
nadw	愜	惬	0	13677
nahf	慳	悭	0	19042
nakk	慪	怄	0	0
nape	懞	蒙	0	0
nbbb	懾	慑	0	18675
nbmo	鶌	𫛵	0	0
ncce	慘	惨	0	25550
ndey	悵	怅	0	13939
ndjd	懨	恹	0	0
ndth	𢤩	𪫡	0	0
nfbk	屆	届	0	29679
nffq	憢	𢙒	0	0
nfjj	蝨	虱	0	13836
nfnf	懤	㤽	0	0
nfwk	懎	𢠁	0	0
nghg	恆	恒	0	27151
ngqx	屍	尸	0	26510
ngvv	悽	凄	0	10284
ngwq	𢣚	𢘝	0	0
nhdd	奬	奖	0	16142
nhdd	狀	状	0	33030
nhdd	獎	奖	0	31074
nhde	裝	装	0	32732
nhdf	壯	壮	0	24712
nhdf	將	将	0	38473
nhdg	醬	酱	0	21634
nhdi	漿	浆	0	22193
nhdj	螿	螀	0	5961
nhdk	牆	墙	0	26474
nhds	槳	桨	0	17627
nhds	牀	床	0	23510
nhdv	妝	妆	0	22541
nhhy	懼	惧	0	24589
nhkc	䪗	𩐀	0	0
nhkc	韍	韨	0	0
nhkc	𩎢	𩏾	0	0
nhke	韛	𫖔	0	0
nhkf	韚	𫠅	0	0
nhkf	韝	鞲	0	0
nhkf	韠	𫖒	0	0
nhkf	𩏂	𫖓	0	0
nhkf	𩏪	𩏽	0	0
nhkh	䪘	𩏿	0	0
nhkh	韋	韦	0	27016
nhkl	韞	韫	0	9616
nhkn	𩎖	𫖑	0	0
nhkp	違	违	0	30209
nhku	𩏠	𫖖	0	0
nhkv	韜	韬	0	18261
nhkw	䪏	𩏼	0	0
nhky	韌	韧	0	19238
nhwo	鶥	鹛	0	0
nilj	劚	㔉	0	0
nilj	屬	属	0	33561
nilr	斸	𣃁	0	0
nirp	遲	迟	0	27572
nkgv	屢	屡	0	23826
nkgv	慺	㥪	0	0
nkkf	憚	惮	0	18513
nknd	悞	悮	0	0
nkuo	鷿	𬸯	0	6474
nkuo	鸊	䴙	0	9426
nlff	懌	怿	0	7978
nlmy	𢠼	𢙑	0	0
nlwl	慍	愠	0	7978
nmae	憹	𢙐	0	0
nmgu	愷	恺	0	17726
nnap	選	选	0	36491
noqh	憐	怜	0	20303
npgm	𢣐	𪬚	0	0
nqbt	㥮	㤘	0	0
nrf	習	习	3	31300
nrfq	翫	玩	0	0
nrlo	憮	怃	0	0
nrno	愾	忾	0	7978
nssy	慄	栗	0	18289
ntan	屜	屉	0	12013
ntfg	𦘧	𡳒	0	0
ntfj	𡳳	𡳃	0	0
ntgl	慟	恸	0	13989
ntkv	屨	屦	0	0
nttk	屩	𪨗	0	0
ntwh	㞞	𪨊	0	0
nued	𢤱	𢘙	0	0
nujn	憶	忆	0	26618
nulj	層	层	0	32520
nuth	飛	飞	0	32137
nvfg	㦎	𢛯	0	0
nvtq	惱	恼	0	21814
nweo	鷚	鹨	0	0
nwgj	懀	𢙓	0	0
nwgw	憸	𪫺	0	0
nwkq	悅	悦	0	23074
nwvo	鳲	鸤	0	0
nwwg	懺	忏	0	16464
nwyk	愴	怆	0	7661
nyle	懷	怀	0	30199
nylt	懍	懔	0	6474
oagf	燁	烨	0	14933
oakk	熰	𬉼	0	0
oaky	𤓌	𪹠	0	0
oavf	𤑳	𤎻	0	0
occe	糝	糁	0	0
oday	爄	𤇃	0	0
oday	糲	粝	0	0
oddm	類	类	0	34099
offq	燒	烧	0	29534
ofkw	爧	𫞠	0	0
ofnf	䊭	𥺅	0	0
ogli	煉	炼	0	23332
ogub	鄴	邺	0	19149
oguc	叢	丛	0	22488
oguf	對	对	0	39283
ogun	懟	怼	0	12948
oguq	鑿	凿	0	20676
oguw	業	业	0	37520
ogva	烴	烃	0	14661
ohal	爐	炉	0	24714
ohqo	燦	灿	0	19888
oipl	𥼽	𥹥	0	0
ojaf	熚	𤇹	0	0
ojgf	糧	粮	0	26110
ojgr	煬	炀	0	15955
okgv	熡	𤋏	0	0
okkf	燀	𬊤	0	0
olaw	糞	粪	0	19601
olgf	糰	团	0	12590
olqj	燭	烛	0	20588
olwl	熅	煴	0	5961
omae	燶	㶶	0	10432
omnk	煱	㶽	0	0
onhh	煒	炜	0	18192
onho	𩏷	𫃗	0	0
onij	爥	𪹳	0	0
ooos	爃	𫞡	0	0
oopf	塋	茔	0	6474
oopf	煢	茕	0	0
oopg	醟	蒏	0	0
ooph	犖	荦	0	12013
oopi	滎	荥	0	13081
oopi	縈	萦	0	12948
oopj	螢	萤	0	22112
oopk	營	营	0	33004
oopl	勞	劳	0	29916
oopm	罃	䓨	0	0
oopo	熒	荧	0	17594
oopo	鶯	莺	0	18234
oopq	鎣	蓥	0	9224
oops	榮	荣	0	29500
oopy	瑩	莹	0	20813
oplh	煇	𪸩	0	13146
oqab	鄰	邻	0	27877
oqbt	糉	粽	0	10432
orno	熂	𪸕	0	0
osfg	煙	烟	0	27883
otfm	𤓎	𤎺	0	0
otgo	燻	熏	0	14018
ouaj	熾	炽	0	19727
oued	爖	𤇭	0	0
ougi	爛	烂	0	23077
oujn	𤒻	𪹹	0	0
ovac	燬	毁	0	15007
ovaf	燖	𬊈	0	0
ovhl	燼	烬	0	15668
owfb	𤒎	𤊀	0	0
owga	㷍	𤆢	0	0
owgj	燴	烩	0	9224
owgu	燈	灯	0	27313
owgw	㷿	𤈷	0	0
owno	熓	𤆡	0	0
owyk	熗	炝	0	0
oxrs	爍	烁	0	17790
oxxn	𥽖	𥺇	0	0
oxyt	𤓩	𤊰	0	0
oybt	燉	炖	0	17007
pahy	寬	宽	0	29006
pajh	冪	幂	0	15044
pesu	寀	采	0	6918
pfjo	鶱	𬸣	0	0
pgim	賓	宾	0	28965
pgin	䎙	𫅭	0	0
pgln	憲	宪	0	28670
pgrm	寶	宝	0	30247
pkgv	寠	𪧘	0	0
pktk	宮	宫	0	30552
plpk	運	运	0	34825
pne	甯	宁	3	16758
pnej	甯	宁	0	16758
pnhc	寢	寝	0	20999
pnlo	鸋	𫛢	0	0
pnls	寧	宁	0	28734
pqbo	鵷	鹓	0	0
pqdm	䪴	𫖫	0	0
pqwo	鴆	鸩	0	11530
ptol	審	审	0	30521
puah	𧜵	䙊	0	0
puak	䙔	𫋲	0	0
pual	襤	褴	0	8267
puat	襪	袜	0	20774
puau	𧞫	𫌋	0	0
pubb	襵	𫌇	0	0
pucy	𧜗	䘞	0	0
pued	寵	宠	0	25110
pufq	襓	𫋹	0	0
pugy	補	补	0	30931
puil	襠	裆	0	8267
pujf	裡	里	0	32040
puka	𧟀	𧝧	0	0
pukv	褸	褛	0	14364
pulf	襗	𫋷	0	0
pulx	襬	摆	0	0
punh	褘	袆	0	11316
punj	䙱	𧜭	0	0
putt	複	复	0	28821
puue	襉	裥	0	0
puuq	襯	衬	0	21135
puwc	襏	袯	0	0
puwj	襘	𫋻	0	0
puww	襝	裣	0	0
puxw	𧝞	䘛	0	0
pvqo	寫	写	0	32150
pvwo	鴳	𫛩	0	0
pwfm	竇	窦	0	19212
pwfv	竈	灶	0	10840
pwif	窪	洼	0	17306
pwkv	窶	窭	0	0
pwmk	窩	窝	0	22534
pwrt	竅	窍	0	15254
pwtc	竊	窃	0	25876
pwtx	窮	穷	0	25037
pwuo	窯	窑	0	16464
pwvn	竄	窜	0	19815
pwwo	窵	窎	0	0
pwyo	鶴	鹤	0	23033
pxfm	實	实	0	36159
pycy	禡	祃	0	7978
pyff	禱	祷	0	22073
pygq	禰	祢	0	13271
pygx	𥜰	𫀌	0	0
pyhq	視	视	0	34731
pykf	禪	禅	0	23591
pymg	𥜐	𫀓	0	0
pymk	禍	祸	0	24400
pymu	禮	礼	0	31088
pynh	禕	祎	0	12013
pynt	祕	秘	0	19491
pyxi	祿	禄	0	24044
qaag	鉽	𫟸	0	0
qaat	錢	钱	0	30362
qaet	鏾	𫔌	0	0
qafl	鑉	𫠁	0	0
qagf	鏵	铧	0	8533
qahf	鏗	铿	0	20064
qahl	鑑	鉴	0	25007
qaho	𪀾	𪉋	0	0
qahq	𨰲	𫔃	0	0
qajo	𪂆	𪉎	0	0
qamh	鉔	𫓬	0	0
qang	鉅	巨	0	20863
qat	鈛	𫓨	3	0
qayo	鴟	鸱	0	11425
qbbb	鑷	镊	0	8322
qbg	釨	𫓦	3	0
qbqb	兇	凶	0	23979
qbtb	鄒	邹	0	20806
qbtc	皺	皱	0	17805
qbtt	芻	刍	0	14701
qbty	雛	雏	0	18847
qbwo	鴛	鸳	0	14452
qcbs	鍒	𫔄	0	0
qceo	𨮳	𫔒	0	0
qcqn	鈗	𫟵	0	0
qcrh	鉾	𫓴	0	6474
qcy	鎷	𨰾	3	0
qdaj	䥄	𫠀	0	0
qday	𨯅	䥿	0	0
qdbt	敎	教	0	14135
qdey	鋹	𬬮	0	7661
qdfe	鋠	𫓵	0	0
qdfi	錼	镎	0	12738
qdgt	銊	𫓰	0	0
qdgt	鍼	针	0	11086
qdht	鏚	𬭭	0	0
qdww	鋏	铗	0	0
qego	𪆷	𫛾	0	0
qekf	觶	觯	0	0
qelj	觸	触	0	30476
qept	鑀	𰾭	0	16090
qetk	䚩	𫌯	0	0
qfag	鐵	铁	0	32101
qfam	鐼	𫔁	0	0
qfd	勻	匀	3	20540
qffq	鐃	铙	0	7310
qffw	䥗	𫔋	0	0
qfkc	𨭸	𫔐	0	0
qfnf	鑄	铸	0	21679
qfpi	鎍	𫔅	0	0
qfup	鐽	𫟼	0	12102
qfwy	𨯟	𫔓	0	0
qgey	錶	表	0	21889
qgfg	錏	铔	0	0
qgli	鍊	炼	0	21721
qgot	錽	𫓸	0	0
qhal	鐪	𫓺	0	0
qhal	鑪	𬬻	0	14182
qhhc	钁	镢	0	0
qifc	鍅	钫	0	7978
qijr	鐋	铴	0	0
qipl	鐺	铛	0	12590
qipo	钂	镋	0	0
qjgh	鍉	𫔂	0	0
qjgr	鍚	钖	0	14274
qkg	釦	扣	3	11633
qkgv	鏤	镂	0	13209
qkwo	鴝	鸲	0	6474
qlcx	䥯	𫔆	0	0
qlff	鐸	铎	0	20355
qlxy	鑼	锣	0	23673
qmdy	鉠	𫓭	0	0
qmfr	觴	觞	0	14819
qmgu	鎧	铠	0	15546
qmmg	銏	𫟶	0	0
qmmv	𨰃	𫔉	0	0
qmnk	鍋	锅	0	23831
qmum	鋼	钢	0	26255
qmwd	奐	奂	0	13081
qmwk	鑴	𫔔	0	0
qnbb	𨬖	𫔏	0	0
qnhf	鏘	锵	0	12435
qnn	釲	𫟳	3	0
qoac	鱯	鳠	0	0
qoaf	魽	𫠐	0	0
qoaf	鰹	鲣	0	7661
qoaf	𩻮	𫚘	0	0
qoag	魟	𫚉	0	12171
qoal	鰳	鳓	0	0
qoas	鰈	鲽	0	8154
qoav	鰋	𫚢	0	0
qoaw	鯕	鲯	0	0
qobc	鯫	鲰	0	0
qobn	鮿	𫚚	0	0
qoce	鯒	鲬	0	0
qoce	鰺	鲹	0	0
qocj	鰠	鳋	0	0
qock	鮐	鲐	0	0
qock	鱊	𫚪	0	0
qocn	䰾	鲃	0	0
qodc	鮁	鲅	0	0
qodd	鯡	鲱	0	9224
qode	鮪	鲔	0	14087
qodj	鮞	鲕	0	0
qodj	鰆	䲠	0	0
qodm	𨰥	𫔕	0	0
qodn	魷	鱿	0	14537
qodn	鱤	鳡	0	0
qodt	𩽇	𩾎	0	0
qodw	鱖	鳜	0	0
qoem	鰩	鳐	0	10432
qoey	魥	𩽹	0	0
qofe	𩻬	𫚩	0	0
qoff	䲖	𩾂	0	0
qoff	鮭	鲑	0	14579
qofj	鰭	鳍	0	18679
qofk	鮚	鲒	0	0
qofk	鱚	𬶮	0	0
qofm	鱝	鲼	0	8267
qofn	鮳	鲓	0	0
qofq	䲅	𫚜	0	0
qoft	鯪	鲮	0	8267
qofv	鱈	鳕	0	10065
qofw	𩵩	𩽺	0	0
qofy	鯄	𩾁	0	0
qoge	鯖	鲭	0	0
qogf	鱄	𫚋	0	0
qogh	鮃	鲆	0	0
qogi	鰊	𬶠	0	0
qogj	鯻	𬶟	0	0
qogj	鰽	𫚧	0	0
qogk	鱷	鳄	0	17742
qogl	鰏	鲾	0	0
qogn	魨	鲀	0	6278
qogq	鯁	鲠	0	8154
qogw	𩶁	𫚎	0	0
qogx	鱺	鲡	0	0
qogy	鯆	𫚙	0	0
qohc	䱙	𩾈	0	0
qohc	鮍	鲏	0	0
qohk	鮎	鲇	0	13741
qohl	鱸	鲈	0	9010
qohm	鯱	𩾇	0	10965
qoij	鱨	鲿	0	0
qoiq	鮡	𬶐	0	0
qoit	魦	𫚌	0	0
qoix	𩸦	𩾆	0	0
qojc	鰻	鳗	0	12738
qojf	魯	鲁	0	30089
qojf	鯉	鲤	0	19412
qojf	鰣	鲥	0	0
qojh	鯷	鳀	0	0
qojj	鯧	鲳	0	0
qojl	鰛	鳁	0	0
qojn	鰨	鳎	0	0
qojr	鰑	𫚊	0	0
qojs	𩸄	𫚝	0	0
qojx	鯤	鲲	0	16464
qokn	鰐	鳄	0	0
qoks	鱢	𫚫	0	0
qold	鯝	鲴	0	0
qole	鰃	鳂	0	0
qoli	鰥	鳏	0	12102
qolk	鮰	𫚔	0	0
qoll	鰮	鳁	0	0
qoln	鰓	鳃	0	14537
qolp	鰱	鲢	0	7310
qomd	䱀	𫚐	0	0
qomg	鮋	鲉	0	0
qomj	鰂	鲗	0	17577
qomk	鮦	鲖	0	0
qomk	鯛	鲷	0	8780
qomu	鱧	鳢	0	0
qonc	鰕	𫚥	0	0
qone	䱬	𩾊	0	0
qonf	䲁	鳚	0	0
qonf	鱂	鳉	0	13784
qonj	鯴	鲺	0	0
qonn	魢	鱾	0	0
qonp	𩷰	𩾄	0	0
qonr	鰼	鳛	0	7661
qont	鮅	𫚑	0	0
qooh	鱗	鳞	0	18422
qool	鐒	铹	0	0
qopa	𩶱	𩽽	0	0
qope	𩼶	𫚬	0	0
qopk	鰫	𫚦	0	0
qopl	鯶	𩽼	0	0
qopq	鯇	鲩	0	11316
qopv	鮟	𩽾	0	0
qopx	鮀	𬶍	0	0
qoqb	鮠	𬶏	0	0
qoqb	鮣	䲟	0	0
qoqk	鮈	𬶋	0	0
qoqn	鮑	鲍	0	23497
qoqq	鮸	𩾃	0	5961
qoqq	𩶰	𩽿	0	0
qoqw	𨨢	𫓿	0	0
qoqy	𩸃	𩾅	0	0
qorg	鮊	鲌	0	0
qorg	鰉	鳇	0	0
qori	鰁	鳈	0	0
qork	鮜	鲘	0	0
qosg	䱁	𫚏	0	0
qosi	鰾	鳔	0	5961
qosk	魺	鲄	0	0
qosy	𩵦	𫠏	0	0
qotf	䱰	𩾋	0	0
qotf	鮓	鲊	0	0
qoti	鯀	鲧	0	12513
qotn	䲘	鳤	0	0
qoto	鰍	鳅	0	7310
qott	鰒	鳆	0	0
qoty	穌	稣	0	23684
qou	魚	鱼	3	29736
qoub	䱧	𫚠	0	0
qoub	𩻗	𫚨	0	0
qoud	鮮	鲜	0	28805
qouf	鱒	鳟	0	7525
qoug	鰌	䲡	0	0
qoug	𩶘	䲞	0	0
qouj	鱆	𫠒	0	0
qouk	鱔	鳝	0	13146
qouo	鰜	鳒	0	0
qouq	鮫	鲛	0	15037
qouq	鮵	𫚛	0	0
qoux	鰦	𫚤	0	0
qouy	鰟	鳑	0	0
qovb	鯽	鲫	0	6474
qovc	䱸	𫠑	0	0
qovf	鱘	鲟	0	9426
qovh	鯞	𫚡	0	0
qovk	鮶	鲪	0	0
qovl	鯔	鲻	0	0
qovn	魛	鱽	0	0
qovn	鱲	𫚭	0	14741
