# code	trad	simp_form	layer	freq
byjg	隮	𬯀	0	0
caat	𩤊	𩧩	0	0
cagf	驊	骅	0	20151
cakk	驅	驱	0	27174
cbbb	䯀	䯅	0	0
cbtl	務	务	0	35851
cbto	鶩	鹜	0	12013
cbto	鷸	鹬	0	11530
cccd	叄	叁	0	9426
ccce	參	参	0	34437
ccce	驂	骖	0	7310
cccn	毿	毵	0	0
cccq	㓄	𪠟	0	0
cccu	驫	骉	0	0
cccy	𠬙	𪠡	0	0
cctd	騃	𫘤	0	0
cdhd	騞	𬴃	0	0
cdlj	軬	𫐊	0	0
cdqq	騻	𫘭	0	0
cexn	態	态	0	32222
cffq	驍	骁	0	15452
cfh	馯	𫘛	3	0
cgcf	駤	𫘠	0	0
cggy	馬	马	0	35048
cgmx	驪	骊	0	15983
chal	驢	驴	0	17007
chcy	駊	𫘟	0	0
ciqn	駫	𫘡	0	0
cjfh	駻	𫘣	0	0
cjpv	騴	𫘫	0	0
cjxx	騉	𫘥	0	0
ckdm	𩒎	𫖭	0	0
clff	驛	驿	0	18164
clvg	䮫	𩨇	0	0
cmgu	𩥉	𩧱	0	0
cmnk	騧	䯄	0	6474
cmwk	驨	𫘱	0	0
cpqb	𩣵	𩧻	0	0
cqbt	騶	驺	0	11086
crgg	騜	𫘩	0	0
csfj	𩦠	𫠌	0	0
ctbn	駞	𫘞	0	0
ctdk	驕	骄	0	21776
ctjh	𩣫	𩧸	0	0
cued	䮾	𩧪	0	0
culj	驓	𫘯	0	0
cumd	䮰	𫘮	0	0
cvfj	驌	骕	0	9010
cwgw	驗	验	0	31738
cwrd	难捱	难挨	1	0
cwxc	驋	𩧯	0	0
cylg	驙	𫘰	0	0
cynx	騼	𫠋	0	0
dahq	𥗽	𬒗	0	0
dajb	𨞺	𫟫	0	0
dajl	勵	励	0	28105
dajy	厲	厉	0	24558
dakk	奩	奁	0	0
dakk	𥕥	𥐰	0	0
dcce	磣	碜	0	0
dcuq	礮	𪿫	0	7978
dcwo	𩿅	𫠖	0	0
dcy	碼	码	3	30335
dday	礪	砺	0	14661
dddj	飆	飙	0	24050
ddsk	碕	埼	0	6474
ddww	硤	硖	0	15321
dedc	髮	发	0	27032
dede	鬍	胡	0	18613
deem	鬚	须	0	18920
dega	𩭙	𩬣	0	0
delv	𩯁	𫙂	0	0
depm	鬢	鬓	0	13451
dept	憂	忧	0	27272
desc	鬆	松	0	26550
deu	長	长	3	37945
deud	龓	𫜲	0	0
deud	𩰀	𩬤	0	0
dewj	鬠	𫘽	0	0
dewo	鶘	鹕	0	16616
dewo	鶦	𫛷	0	0
dfee	脣	唇	0	12188
dffc	𥖅	𥐯	0	0
dffq	磽	硗	0	0
dfnf	𥖲	𪿞	0	0
dfno	鴮	𫛦	0	0
dfup	䃮	鿎	0	0
dfwl	𥗇	𪿵	0	0
dgjf	磚	砖	0	23054
dgva	硜	硁	0	0
dhdc	艷	艳	0	20398
dhdl	豔	艳	0	18261
dhdu	豐	丰	0	29498
dhim	顣	𫖹	0	0
dhin	慼	戚	0	10965
dhlo	磠	硵	0	0
dhqn	硯	砚	0	16245
dhvb	齧	啮	0	8533
dikv	耬	耧	0	0
dilp	𦔖	𫅼	0	0
dilx	䎱	䎬	0	0
diol	耮	耢	0	0
djec	魘	魇	0	9426
djed	厭	厌	0	23572
djed	靨	靥	0	0
djee	饜	餍	0	8267
djef	壓	压	0	31608
djel	厴	厣	0	0
djeo	黶	黡	0	0
djgr	碭	砀	0	9967
djno	鵪	鹌	0	12355
dkkf	磾	䃅	0	13332
dmae	𨲳	𫔖	0	0
dmgu	磑	硙	0	0
dmjm	靧	𫖃	0	0
dmjo	鴯	鸸	0	13081
dmjq	靦	腼	0	10432
dmtj	碸	砜	0	0
dmum	碙	𥐻	0	5961
dmwe	䪾	𫖬	0	0
dnal	尷	尴	0	18965
dpwy	確	确	0	35093
dqjk	剋	克	0	16079
drim	願	愿	0	30606
driy	硃	朱	0	14452
dssh	礎	础	0	27767
dtdk	礄	硚	0	0
dtth	歷	历	0	32402
dtti	厤	历	0	0
dttj	曆	历	0	25824
dued	龎	厐	0	0
dugt	礒	𥐟	0	0
dujo	鷯	鹩	0	7978
dujp	遼	辽	0	24636
dwgw	礆	硷	0	0
dwvo	鴣	鸪	0	10432
dwwb	郟	郏	0	0
dwwc	㪎	𪯋	0	0
dwwi	夾	夹	0	25381
dwwj	㓨	刾	0	0
dwwm	頰	颊	0	17660
dwwo	鵊	𫛥	0	0
dwyf	奪	夺	0	29044
dwyl	奮	奋	0	25106
dxrs	礫	砾	0	17491
dxth	礙	碍	0	26620
dxxt	磯	矶	0	30111
dyaw	礦	矿	0	25800
eadt	臟	脏	0	24566
eaky	𦣎	𦟗	0	0
ebco	鵩	𫛳	0	8780
ecmn	亂	乱	0	30073
ecmu	辭	辞	0	28033
edey	脹	胀	0	23179
edml	盨	𪾔	0	7310
edww	脥	𣍰	0	0
eeak	貙	䝙	0	0
eeal	貓	猫	0	27068
eekv	貗	𫎌	0	0
eesw	𧳟	𧳕	0	0
eevf	墾	垦	0	22449
eevn	懇	恳	0	19971
eewo	鵬	鹏	0	22248
efam	膹	𪱥	0	0
eftj	豬	猪	0	25932
efts	櫫	橥	0	7310
egjf	膞	䏝	0	0
egji	腖	胨	0	0
egva	脛	胫	0	13989
egwq	𦢈	𣍨	0	0
ehal	臚	胪	0	13209
ehqb	覓	觅	0	20463
ejgr	腸	肠	0	25152
ekgv	膢	𦝼	0	0
elag	膕	腘	0	5961
elwl	膃	腽	0	0
emae	膿	脓	0	15254
emnk	腡	脶	0	0
enwe	膠	胶	0	26724
eool	朥	𦛨	0	6918
epay	臗	𣎑	0	0
epgm	臏	膑	0	12188
epnt	愛	爱	0	32890
eqdy	膽	胆	0	23933
erey	脈	脉	0	26473
ermj	颻	飖	0	0
ermo	鷂	鹞	0	12013
etgf	腫	肿	0	23302
etno	爲	为	0	27703
etwh	豵	𫎆	0	0
eudl	勝	胜	0	31316
eudo	鰧	䲢	0	0
eudy	謄	誊	0	11633
eued	朧	胧	0	13655
euft	𦟼	𫆝	0	0
evaf	𦠅	𫞅	0	0
evhj	爭	争	0	32791
evln	臘	腊	0	25892
evtq	腦	脑	0	29857
ewgj	膾	脍	0	16295
ewgw	臉	脸	0	26907
ewkq	脫	脱	0	28577
ewwb	腳	脚	0	28592
exdo	鷄	鸡	0	9796
exdy	雞	鸡	0	26232
eyjg	臍	脐	0	15900
fakk	塸	𫭟	0	0
fbxg	壣	𪤚	0	0
fcbl	霧	雾	0	24780
fcce	𩅙	𫕨	0	0
fcwo	䲰	𪉂	0	0
fcwo	鳷	𫛛	0	0
fdth	壢	坜	0	18770
fdth	靂	雳	0	16675
fere	霢	霡	0	0
fesy	埰	采	0	0
ffae	壩	坝	0	21260
ffam	墳	坟	0	21230
ffco	霼	𪵣	0	0
ffcp	靆	叇	0	0
ffct	靉	叆	0	5961
ffcu	雲	云	0	30022
fffh	幫	帮	0	30946
fffn	翹	翘	0	20206
fffq	堯	尧	0	21708
ffup	墶	垯	0	0
ffwk	墻	墙	0	15983
fgfg	埡	垭	0	12435
fgji	埬	𪣆	0	0
fhal	壚	垆	0	6918
fhce	䟃	𫎺	0	0
fhdh	䟐	𫎱	0	0
fhie	趙	赵	0	28117
fhjf	趕	赶	0	27473
fhlf	䟆	𫎳	0	0
fhlr	𧽯	𫎸	0	0
fhqt	趨	趋	0	27462
fihk	霑	沾	0	15515
fipl	壋	垱	0	0
fitf	釐	厘	0	21762
fith	犛	牦	0	12435
fitn	氂	牦	0	0
fiyo	𪁖	𪉌	0	0
fjfc	壜	坛	0	0
fjff	塒	埘	0	0
fjgr	場	场	0	37163
fjnb	電	电	0	36553
fjnh	韓	韩	0	30083
fjt	乾	干	3	28749
fjtn	乾	干	0	28749
fjwf	幹	干	0	27332
fjws	榦	干	0	5961
fkep	遠	远	0	32007
fkgv	塿	𪣻	0	0
fkke	喪	丧	0	26761
fkkf	墠	𫮃	0	6377
fkkw	靈	灵	0	29842
fkmu	霣	𫕥	0	0
fkpf	臺	台	0	31415
fkuu	鼕	冬	0	6474
flcx	𡓁	𪤄	0	0
flll	協	协	0	33114
flmq	覿	觌	0	5961
flmu	賣	卖	0	29956
fmgu	塏	垲	0	0
fmnk	堝	埚	0	10573
fnaf	壽	寿	0	26942
fnan	㦞	𪫷	0	0
fnao	燾	焘	0	13509
fnmb	聲	声	0	33093
fnmk	毊	𪵑	0	0
foga	䞓	𫎭	0	0
fool	𡑍	𫭼	0	0
fpbo	鵓	鹁	0	0
fpey	塚	冢	0	19387
fpfg	壺	壶	0	20944
fpgc	殼	壳	0	24427
fpgc	穀	谷	0	22289
fpgc	轂	毂	0	9010
fpgn	愨	悫	0	13677
fpgt	𪍠	𫜕	0	0
fplh	堚	𪣒	0	0
fpmc	殻	壳	0	11752
fpyu	𡓾	𡋀	0	0
fqmv	黿	鼋	0	0
fqyi	朮	术	0	14661
frlo	墲	𪢸	0	0
frqc	塊	块	0	27484
fsho	鸘	鹴	0	0
fsjh	墰	坛	0	0
ftgo	壎	埙	0	6918
fudp	達	达	0	35598
fued	壠	垅	0	14408
fufc	報	报	0	36493
fuff	墊	垫	0	22268
fufi	縶	絷	0	6474
fufj	蟄	蛰	0	14926
fufl	𨎌	𫐋	0	0
fufm	贄	贽	0	11633
fufo	鷙	鸷	0	10709
fufr	摯	挚	0	19359
fufy	執	执	0	32465
fvhl	壗	𡋤	0	0
fvtq	堖	垴	0	0
fwfl	勢	势	0	32712
fwfo	熱	热	0	32266
fwga	埨	𫭢	0	0
fwgj	𡑭	𡋗	0	0
fwhh	鬹	鬶	0	0
fwhq	規	规	0	33760
fwhs	槼	椝	0	0
fwno	塢	坞	0	20484
fwwk	嗇	啬	0	15955
fxyt	𡔖	𡍣	0	0
fxyx	壪	塆	0	0
fyaw	壙	圹	0	7978
fyjf	霽	霁	0	11633
fyle	壞	坏	0	29042
fylg	壇	坛	0	26795
fylt	壈	𡒄	0	0
gahl	璼	𫞨	0	0
gaho	鵡	鹉	0	16393
gamy	璊	𫞩	0	0
gawo	鳽	𫛚	0	5961
gcca	戩	戬	0	9224
gccj	晉	晋	0	28417
gcu	丟	丢	3	24329
gcy	瑪	玛	3	28517
geeh	靜	静	0	27989
geho	鵏	𬷕	0	0
gehq	靚	靓	0	23774
gept	璦	瑷	0	7661
gero	靝	靔	0	0
gewo	鶄	䴖	0	0
gfgd	亞	亚	0	34875
gfgf	堊	垩	0	14135
gfgn	惡	恶	0	29692
gfkw	𤫩	㻏	0	0
gflm	瓄	𪻨	0	0
ghad	瓛	𤩽	0	7978
ghng	亙	亘	0	13081
ghph	璿	璇	0	11732
ghqn	現	现	0	38116
gifc	琺	珐	0	11530
